year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2015,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2020,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2025,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2030,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2035,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2040,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2045,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2050,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2055,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2060,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2065,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2070,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2075,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2080,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2085,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2090,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2095,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
2100,1.86,1.86,1.86,75.6,80.4,75.6,80.4,75.6,80.4,0.833,105,105,105,2147.823004,1999.424391
