year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2015,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2020,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2025,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2030,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2035,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2040,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2045,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2050,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2055,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2060,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2065,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2070,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2075,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2080,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2085,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2090,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2095,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
2100,1.74,1.74,1.74,76.3,81.6,76.3,81.6,76.3,81.6,0.912,105,105,105,38547.22728,35883.90026
