region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
AL,840-01,0,,,30180,30110,,
AL,840-01,1,,,29250,30830,,
AL,840-01,2,,,31140,31020,,
AL,840-01,3,,,30830,32280,,
AL,840-01,4,,,29880,30530,,
AL,840-01,5,,,29210,30890,,
AL,840-01,6,,,29690,31450,,
AL,840-01,7,,,28920,31660,,
AL,840-01,8,,,29630,31560,,
AL,840-01,9,,,31650,34650,,
AL,840-01,10,,,31960,32330,,
AL,840-01,11,,,30830,33260,,
AL,840-01,12,,,30820,32980,,
AL,840-01,13,,,31310,32060,,
AL,840-01,14,,,31500,31870,,
AL,840-01,15,,,32250,33240,,
AL,840-01,16,,,33590,33830,,
AL,840-01,17,,,33170,35340,,
AL,840-01,18,,,34320,34740,,
AL,840-01,19,,,36700,36050,,
AL,840-01,20,,,36140,36970,,
AL,840-01,21,,,34050,34570,,
AL,840-01,22,,,32060,33930,,
AL,840-01,23,,,32580,31230,,
AL,840-01,24,,,31300,31580,,
AL,840-01,25,,,32450,31140,,
AL,840-01,26,,,31100,30880,,
AL,840-01,27,,,30800,31940,,
AL,840-01,28,,,32180,30230,,
AL,840-01,29,,,33060,31460,,
AL,840-01,30,,,32690,31700,,
AL,840-01,31,,,30100,29120,,
AL,840-01,32,,,30060,29250,,
AL,840-01,33,,,29070,28850,,
AL,840-01,34,,,29420,28820,,
AL,840-01,35,,,30700,28210,,
AL,840-01,36,,,29760,29040,,
AL,840-01,37,,,30610,29170,,
AL,840-01,38,,,32390,31020,,
AL,840-01,39,,,33950,31630,,
AL,840-01,40,,,33180,32240,,
AL,840-01,41,,,30730,29920,,
AL,840-01,42,,,31680,29180,,
AL,840-01,43,,,31630,30100,,
AL,840-01,44,,,32430,31830,,
AL,840-01,45,,,35010,33490,,
AL,840-01,46,,,35210,33850,,
AL,840-01,47,,,34910,33440,,
AL,840-01,48,,,35260,34230,,
AL,840-01,49,,,36980,33640,,
AL,840-01,50,,,36040,35010,,
AL,840-01,51,,,35980,32890,,
AL,840-01,52,,,36320,33450,,
AL,840-01,53,,,36340,32760,,
AL,840-01,54,,,34100,33620,,
AL,840-01,55,,,34370,32350,,
AL,840-01,56,,,33330,30790,,
AL,840-01,57,,,31780,30310,,
AL,840-01,58,,,31670,29100,,
AL,840-01,59,,,29580,27950,,
AL,840-01,60,,,31510,28120,,
AL,840-01,61,,,30060,27290,,
AL,840-01,62,,,30870,28740,,
AL,840-01,63,,,29360,27240,,
AL,840-01,64,,,22860,20440,,
AL,840-01,65,,,23940,20530,,
AL,840-01,66,,,23340,20770,,
AL,840-01,67,,,24150,20330,,
AL,840-01,68,,,21570,17610,,
AL,840-01,69,,,19960,17470,,
AL,840-01,70,,,19800,16680,,
AL,840-01,71,,,17880,14610,,
AL,840-01,72,,,18070,14280,,
AL,840-01,73,,,16370,13250,,
AL,840-01,74,,,16150,12710,,
AL,840-01,75,,,15760,12240,,
AL,840-01,76,,,14130,10810,,
AL,840-01,77,,,14440,10050,,
AL,840-01,78,,,13830,9800,,
AL,840-01,79,,,12400,8610,,
AL,840-01,80,,,12520,8350,,
AL,840-01,81,,,11900,7320,,
AL,840-01,82,,,11270,6390,,
AL,840-01,83,,,10850,6170,,
AL,840-01,84,,,9640,5480,,
AL,840-01,85,,,8930,4650,,
AL,840-01,86,,,7310,4120,,
AL,840-01,87,,,6450,3050,,
AL,840-01,88,,,5940,2960,,
AL,840-01,89,,,5020,2080,,
AL,840-01,90,,,4124,1740,,
AL,840-01,91,,,3226,1283,,
AL,840-01,92,,,2759,1027,,
AL,840-01,93,,,2134,741,,
AL,840-01,94,,,1706,539,,
AL,840-01,95,,,1335,390,,
AL,840-01,96,,,1009,271,,
AL,840-01,97,,,727,182,,
AL,840-01,98,,,504,117,,
AL,840-01,99,,,350,75,,
AL,840-01,100,,,605,115,,
,,,,,,,,
