region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
AL,840-01,0,,,,
AL,840-01,1,,,,
AL,840-01,2,,,,
AL,840-01,3,,,,
AL,840-01,4,,,,
AL,840-01,5,,,,
AL,840-01,6,,,,
AL,840-01,7,,,,
AL,840-01,8,,,,
AL,840-01,9,,,,
AL,840-01,10,,,,
AL,840-01,11,,,,
AL,840-01,12,,,,
AL,840-01,13,,,,
AL,840-01,14,,,,
AL,840-01,15,,,,
AL,840-01,16,,,,
AL,840-01,17,,,,
AL,840-01,18,,,,
AL,840-01,19,,,,
AL,840-01,20,,,,
AL,840-01,21,,,,
AL,840-01,22,,,,
AL,840-01,23,,,,
AL,840-01,24,,,,
AL,840-01,25,,,,
AL,840-01,26,,,,
AL,840-01,27,,,,
AL,840-01,28,,,,
AL,840-01,29,,,,
AL,840-01,30,,,,
AL,840-01,31,,,,
AL,840-01,32,,,,
AL,840-01,33,,,,
AL,840-01,34,,,,
AL,840-01,35,,,,
AL,840-01,36,,,,
AL,840-01,37,,,,
AL,840-01,38,,,,
AL,840-01,39,,,,
AL,840-01,40,,,,
AL,840-01,41,,,,
AL,840-01,42,,,,
AL,840-01,43,,,,
AL,840-01,44,,,,
AL,840-01,45,,,,
AL,840-01,46,,,,
AL,840-01,47,,,,
AL,840-01,48,,,,
AL,840-01,49,,,,
AL,840-01,50,,,,
AL,840-01,51,,,,
AL,840-01,52,,,,
AL,840-01,53,,,,
AL,840-01,54,,,,
AL,840-01,55,,,,
AL,840-01,56,,,,
AL,840-01,57,,,,
AL,840-01,58,,,,
AL,840-01,59,,,,
AL,840-01,60,,,,
AL,840-01,61,,,,
AL,840-01,62,,,,
AL,840-01,63,,,,
AL,840-01,64,,,,
AL,840-01,65,,,,
AL,840-01,66,,,,
AL,840-01,67,,,,
AL,840-01,68,,,,
AL,840-01,69,,,,
AL,840-01,70,,,,
AL,840-01,71,,,,
AL,840-01,72,,,,
AL,840-01,73,,,,
AL,840-01,74,,,,
AL,840-01,75,,,,
AL,840-01,76,,,,
AL,840-01,77,,,,
AL,840-01,78,,,,
AL,840-01,79,,,,
AL,840-01,80,,,,
AL,840-01,81,,,,
AL,840-01,82,,,,
AL,840-01,83,,,,
AL,840-01,84,,,,
AL,840-01,85,,,,
AL,840-01,86,,,,
AL,840-01,87,,,,
AL,840-01,88,,,,
AL,840-01,89,,,,
AL,840-01,90,,,,
AL,840-01,91,,,,
AL,840-01,92,,,,
AL,840-01,93,,,,
AL,840-01,94,,,,
AL,840-01,95,,,,
AL,840-01,96,,,,
AL,840-01,97,,,,
AL,840-01,98,,,,
AL,840-01,99,,,,
AL,840-01,100,,,,
