region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
ND,840-38,0,,,4100,4660,,
ND,840-38,1,,,4350,4910,,
ND,840-38,2,,,4230,4580,,
ND,840-38,3,,,4520,4640,,
ND,840-38,4,,,4370,4430,,
ND,840-38,5,,,4090,4440,,
ND,840-38,6,,,4150,4070,,
ND,840-38,7,,,3900,3870,,
ND,840-38,8,,,4050,4030,,
ND,840-38,9,,,4010,3710,,
ND,840-38,10,,,3710,3920,,
ND,840-38,11,,,3630,4060,,
ND,840-38,12,,,4230,4100,,
ND,840-38,13,,,3680,4000,,
ND,840-38,14,,,3900,3850,,
ND,840-38,15,,,4050,4190,,
ND,840-38,16,,,4320,4270,,
ND,840-38,17,,,3900,4500,,
ND,840-38,18,,,4580,5250,,
ND,840-38,19,,,5390,6550,,
ND,840-38,20,,,5930,6490,,
ND,840-38,21,,,5770,6010,,
ND,840-38,22,,,5220,6640,,
ND,840-38,23,,,5380,6350,,
ND,840-38,24,,,4980,6130,,
ND,840-38,25,,,4570,5520,,
ND,840-38,26,,,4800,5430,,
ND,840-38,27,,,4760,5490,,
ND,840-38,28,,,4810,5150,,
ND,840-38,29,,,4380,4790,,
ND,840-38,30,,,4220,5020,,
ND,840-38,31,,,4160,4250,,
ND,840-38,32,,,3740,4370,,
ND,840-38,33,,,3990,4190,,
ND,840-38,34,,,3730,3990,,
ND,840-38,35,,,3620,3580,,
ND,840-38,36,,,3130,3610,,
ND,840-38,37,,,3590,3440,,
ND,840-38,38,,,3890,3870,,
ND,840-38,39,,,3640,4290,,
ND,840-38,40,,,3590,3600,,
ND,840-38,41,,,3660,3830,,
ND,840-38,42,,,3640,3790,,
ND,840-38,43,,,3300,3900,,
ND,840-38,44,,,3780,3980,,
ND,840-38,45,,,4140,4080,,
ND,840-38,46,,,4440,4540,,
ND,840-38,47,,,4770,4810,,
ND,840-38,48,,,4850,4500,,
ND,840-38,49,,,4910,4880,,
ND,840-38,50,,,5450,5110,,
ND,840-38,51,,,5250,5070,,
ND,840-38,52,,,4880,5390,,
ND,840-38,53,,,5460,5060,,
ND,840-38,54,,,5030,5170,,
ND,840-38,55,,,4830,5270,,
ND,840-38,56,,,4540,4670,,
ND,840-38,57,,,4810,5040,,
ND,840-38,58,,,4330,4940,,
ND,840-38,59,,,4180,3910,,
ND,840-38,60,,,3950,4220,,
ND,840-38,61,,,3540,4090,,
ND,840-38,62,,,3380,3950,,
ND,840-38,63,,,3130,3610,,
ND,840-38,64,,,2760,2620,,
ND,840-38,65,,,3000,2510,,
ND,840-38,66,,,2550,2980,,
ND,840-38,67,,,2670,2650,,
ND,840-38,68,,,2290,2510,,
ND,840-38,69,,,2370,2300,,
ND,840-38,70,,,2260,2100,,
ND,840-38,71,,,2300,1830,,
ND,840-38,72,,,2230,1950,,
ND,840-38,73,,,2260,1990,,
ND,840-38,74,,,2490,1720,,
ND,840-38,75,,,2160,1940,,
ND,840-38,76,,,2120,1640,,
ND,840-38,77,,,1940,1630,,
ND,840-38,78,,,2050,1600,,
ND,840-38,79,,,2040,1430,,
ND,840-38,80,,,1830,1450,,
ND,840-38,81,,,2030,1210,,
ND,840-38,82,,,1950,1330,,
ND,840-38,83,,,1700,1270,,
ND,840-38,84,,,1700,1110,,
ND,840-38,85,,,1480,1000,,
ND,840-38,86,,,1460,770,,
ND,840-38,87,,,1080,670,,
ND,840-38,88,,,1280,630,,
ND,840-38,89,,,1010,560,,
ND,840-38,90,,,1133.525976,391.9831845,,
ND,840-38,91,,,886.9085099,289.1207957,,
ND,840-38,92,,,758.4684524,231.3731492,,
ND,840-38,93,,,586.7472714,166.8447076,,
ND,840-38,94,,,468.8320604,121.4915562,,
ND,840-38,95,,,366.8703011,87.97846041,,
ND,840-38,96,,,277.4903497,61.05487812,,
ND,840-38,97,,,199.8686829,40.95644612,,
ND,840-38,98,,,138.6029971,26.34142081,,
ND,840-38,99,,,96.28942092,16.92981024,,
ND,840-38,100,,,166.3959779,25.92559118,,
