region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
CO,840-08,0,,,31900,33640,31900,33640
CO,840-08,1,,,32020,34860,32020,34860
CO,840-08,2,,,34440,36730,34440,36730
CO,840-08,3,,,34800,35290,34800,35290
CO,840-08,4,,,34730,35510,34730,35510
CO,840-08,5,,,34840,35830,34840,35830
CO,840-08,6,,,33150,34990,33150,34990
CO,840-08,7,,,34570,35060,34570,35060
CO,840-08,8,,,33800,34760,33800,34760
CO,840-08,9,,,35160,35150,35160,35150
CO,840-08,10,,,34530,34710,34530,34710
CO,840-08,11,,,32700,35150,32700,35150
CO,840-08,12,,,31860,34170,31860,34170
CO,840-08,13,,,32130,33800,32130,33800
CO,840-08,14,,,31910,33080,31910,33080
CO,840-08,15,,,32240,33860,32240,33860
CO,840-08,16,,,32860,35290,32860,35290
CO,840-08,17,,,33230,34770,33230,34770
CO,840-08,18,,,32480,35530,32480,35530
CO,840-08,19,,,33430,36420,33430,36420
CO,840-08,20,,,33620,36580,33620,36580
CO,840-08,21,,,32520,35190,32520,35190
CO,840-08,22,,,32460,35710,32460,35710
CO,840-08,23,,,32700,36130,32700,36130
CO,840-08,24,,,35190,36490,35190,36490
CO,840-08,25,,,35100,37880,35100,37880
CO,840-08,26,,,36960,36820,36960,36820
CO,840-08,27,,,36090,37780,36090,37780
CO,840-08,28,,,36580,38650,36580,38650
CO,840-08,29,,,36020,37850,36020,37850
CO,840-08,30,,,36860,38840,36860,38840
CO,840-08,31,,,34860,35550,34860,35550
CO,840-08,32,,,34550,36480,34550,36480
CO,840-08,33,,,34440,34850,34440,34850
CO,840-08,34,,,33050,35830,33050,35830
CO,840-08,35,,,34310,37590,34310,37590
CO,840-08,36,,,32750,34450,32750,34450
CO,840-08,37,,,33050,36120,33050,36120
CO,840-08,38,,,34820,36700,34820,36700
CO,840-08,39,,,36950,39240,36950,39240
CO,840-08,40,,,36560,38690,36560,38690
CO,840-08,41,,,35010,36560,35010,36560
CO,840-08,42,,,33160,33880,33160,33880
CO,840-08,43,,,32510,33440,32510,33440
CO,840-08,44,,,33700,32290,33700,32290
CO,840-08,45,,,35500,36820,35500,36820
CO,840-08,46,,,36490,36540,36490,36540
CO,840-08,47,,,37510,36410,37510,36410
CO,840-08,48,,,37600,36510,37600,36510
CO,840-08,49,,,38910,38260,38910,38260
CO,840-08,50,,,38630,37710,38630,37710
CO,840-08,51,,,36910,36850,36910,36850
CO,840-08,52,,,36720,36270,36720,36270
CO,840-08,53,,,36740,36460,36740,36460
CO,840-08,54,,,36430,36520,36430,36520
CO,840-08,55,,,35770,34620,35770,34620
CO,840-08,56,,,34420,33600,34420,33600
CO,840-08,57,,,33350,32920,33350,32920
CO,840-08,58,,,32200,31170,32200,31170
CO,840-08,59,,,30180,29970,30180,29970
CO,840-08,60,,,29600,29230,29600,29230
CO,840-08,61,,,29260,27730,29260,27730
CO,840-08,62,,,29120,28760,29120,28760
CO,840-08,63,,,27730,27310,27730,27310
CO,840-08,64,,,21390,20280,21390,20280
CO,840-08,65,,,20750,19520,20750,19520
CO,840-08,66,,,19610,19100,19610,19100
CO,840-08,67,,,20640,18270,20640,18270
CO,840-08,68,,,17800,16360,17800,16360
CO,840-08,69,,,16290,15350,16290,15350
CO,840-08,70,,,15070,13510,15070,13510
CO,840-08,71,,,14370,13330,14370,13330
CO,840-08,72,,,13540,11920,13540,11920
CO,840-08,73,,,12360,11000,12360,11000
CO,840-08,74,,,12490,10300,12490,10300
CO,840-08,75,,,11260,10270,11260,10270
CO,840-08,76,,,11390,8800,11390,8800
CO,840-08,77,,,10080,8980,10080,8980
CO,840-08,78,,,9890,8410,9890,8410
CO,840-08,79,,,9940,7570,9940,7570
CO,840-08,80,,,9770,7060,9770,7060
CO,840-08,81,,,9020,6060,9020,6060
CO,840-08,82,,,8540,5810,8540,5810
CO,840-08,83,,,8100,5340,8100,5340
CO,840-08,84,,,7490,4720,7490,4720
CO,840-08,85,,,7180,4740,7180,4740
CO,840-08,86,,,6620,3860,6620,3860
CO,840-08,87,,,5890,3430,5890,3430
CO,840-08,88,,,5680,2670,5680,2670
CO,840-08,89,,,4499,2197,4499,2197
CO,840-08,90,,,3776,1722,3776,1722
CO,840-08,91,,,2954,1270,2954,1270
CO,840-08,92,,,2526,1016,2526,1016
CO,840-08,93,,,1954,733,1954,733
CO,840-08,94,,,1562,534,1562,534
CO,840-08,95,,,1222,386,1222,386
CO,840-08,96,,,924,268,924,268
CO,840-08,97,,,666,180,666,180
CO,840-08,98,,,462,116,462,116
CO,840-08,99,,,321,74,321,74
CO,840-08,100,,,554,114,554,114
