region,region_code,age,rural,urban,all
MD,840-24,0,,0,0
MD,840-24,1,,0,0
MD,840-24,2,,0,0
MD,840-24,3,,0,0
MD,840-24,4,,0,0
MD,840-24,5,,0,0
MD,840-24,6,,0,0
MD,840-24,7,,0,0
MD,840-24,8,,0,0
MD,840-24,9,,0,0
MD,840-24,10,,0,0
MD,840-24,11,,0,0
MD,840-24,12,,0,0
MD,840-24,13,,0,0
MD,840-24,14,,0,0
MD,840-24,15,,0.003303097,0.003303097
MD,840-24,16,,0.008888021,0.008888021
MD,840-24,17,,0.025806922,0.025806922
MD,840-24,18,,0.033322178,0.033322178
MD,840-24,19,,0.044302624,0.044302624
MD,840-24,20,,0.071879937,0.071879937
MD,840-24,21,,0.070186532,0.070186532
MD,840-24,22,,0.071321044,0.071321044
MD,840-24,23,,0.08306944,0.08306944
MD,840-24,24,,0.09284107,0.09284107
MD,840-24,25,,0.104771658,0.104771658
MD,840-24,26,,0.110106495,0.110106495
MD,840-24,27,,0.116376023,0.116376023
MD,840-24,28,,0.110143404,0.110143404
MD,840-24,29,,0.116993885,0.116993885
MD,840-24,30,,0.131133131,0.131133131
MD,840-24,31,,0.133003212,0.133003212
MD,840-24,32,,0.132128353,0.132128353
MD,840-24,33,,0.125824667,0.125824667
MD,840-24,34,,0.106777808,0.106777808
MD,840-24,35,,0.07964668,0.07964668
MD,840-24,36,,0.093041578,0.093041578
MD,840-24,37,,0.072764975,0.072764975
MD,840-24,38,,0.055886684,0.055886684
MD,840-24,39,,0.042651201,0.042651201
MD,840-24,40,,0.031564252,0.031564252
MD,840-24,41,,0.027769132,0.027769132
MD,840-24,42,,0.019896502,0.019896502
MD,840-24,43,,0.012000614,0.012000614
MD,840-24,44,,0.007390129,0.007390129
MD,840-24,45,,0.005886132,0.005886132
MD,840-24,46,,0.006865453,0.006865453
MD,840-24,47,,0.005316991,0.005316991
MD,840-24,48,,0.007129899,0.007129899
MD,840-24,49,,0.007384695,0.007384695
MD,840-24,50,,0.003017838,0.003017838
MD,840-24,51,,0,0
MD,840-24,52,,0,0
MD,840-24,53,,0,0
MD,840-24,54,,0,0
MD,840-24,55,,0,0
MD,840-24,56,,0,0
MD,840-24,57,,0,0
MD,840-24,58,,0,0
MD,840-24,59,,0,0
MD,840-24,60,,0,0
MD,840-24,61,,0,0
MD,840-24,62,,0,0
MD,840-24,63,,0,0
MD,840-24,64,,0,0
MD,840-24,65,,0,0
MD,840-24,66,,0,0
MD,840-24,67,,0,0
MD,840-24,68,,0,0
MD,840-24,69,,0,0
MD,840-24,70,,0,0
MD,840-24,71,,0,0
MD,840-24,72,,0,0
MD,840-24,73,,0,0
MD,840-24,74,,0,0
MD,840-24,75,,0,0
MD,840-24,76,,0,0
MD,840-24,77,,0,0
MD,840-24,78,,0,0
MD,840-24,79,,0,0
MD,840-24,80,,0,0
MD,840-24,81,,0,0
MD,840-24,82,,0,0
MD,840-24,83,,0,0
MD,840-24,84,,0,0
MD,840-24,85,,0,0
MD,840-24,86,,0,0
MD,840-24,87,,0,0
MD,840-24,88,,0,0
MD,840-24,89,,0,0
MD,840-24,90,,0,0
MD,840-24,91,,0,0
MD,840-24,92,,0,0
MD,840-24,93,,0,0
MD,840-24,94,,0,0
MD,840-24,95,,0,0
MD,840-24,96,,0,0
MD,840-24,97,,0,0
MD,840-24,98,,0,0
MD,840-24,99,,0,0
MD,840-24,100,,0,0
