region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
AK,840-02,0,,,,
AK,840-02,1,,,,
AK,840-02,2,,,,
AK,840-02,3,,,,
AK,840-02,4,,,,
AK,840-02,5,,,,
AK,840-02,6,,,,
AK,840-02,7,,,,
AK,840-02,8,,,,
AK,840-02,9,,,,
AK,840-02,10,,,,
AK,840-02,11,,,,
AK,840-02,12,,,,
AK,840-02,13,,,,
AK,840-02,14,,,,
AK,840-02,15,,,,
AK,840-02,16,,,,
AK,840-02,17,,,,
AK,840-02,18,,,,
AK,840-02,19,,,,
AK,840-02,20,,,,
AK,840-02,21,,,,
AK,840-02,22,,,,
AK,840-02,23,,,,
AK,840-02,24,,,,
AK,840-02,25,,,,
AK,840-02,26,,,,
AK,840-02,27,,,,
AK,840-02,28,,,,
AK,840-02,29,,,,
AK,840-02,30,,,,
AK,840-02,31,,,,
AK,840-02,32,,,,
AK,840-02,33,,,,
AK,840-02,34,,,,
AK,840-02,35,,,,
AK,840-02,36,,,,
AK,840-02,37,,,,
AK,840-02,38,,,,
AK,840-02,39,,,,
AK,840-02,40,,,,
AK,840-02,41,,,,
AK,840-02,42,,,,
AK,840-02,43,,,,
AK,840-02,44,,,,
AK,840-02,45,,,,
AK,840-02,46,,,,
AK,840-02,47,,,,
AK,840-02,48,,,,
AK,840-02,49,,,,
AK,840-02,50,,,,
AK,840-02,51,,,,
AK,840-02,52,,,,
AK,840-02,53,,,,
AK,840-02,54,,,,
AK,840-02,55,,,,
AK,840-02,56,,,,
AK,840-02,57,,,,
AK,840-02,58,,,,
AK,840-02,59,,,,
AK,840-02,60,,,,
AK,840-02,61,,,,
AK,840-02,62,,,,
AK,840-02,63,,,,
AK,840-02,64,,,,
AK,840-02,65,,,,
AK,840-02,66,,,,
AK,840-02,67,,,,
AK,840-02,68,,,,
AK,840-02,69,,,,
AK,840-02,70,,,,
AK,840-02,71,,,,
AK,840-02,72,,,,
AK,840-02,73,,,,
AK,840-02,74,,,,
AK,840-02,75,,,,
AK,840-02,76,,,,
AK,840-02,77,,,,
AK,840-02,78,,,,
AK,840-02,79,,,,
AK,840-02,80,,,,
AK,840-02,81,,,,
AK,840-02,82,,,,
AK,840-02,83,,,,
AK,840-02,84,,,,
AK,840-02,85,,,,
AK,840-02,86,,,,
AK,840-02,87,,,,
AK,840-02,88,,,,
AK,840-02,89,,,,
AK,840-02,90,,,,
AK,840-02,91,,,,
AK,840-02,92,,,,
AK,840-02,93,,,,
AK,840-02,94,,,,
AK,840-02,95,,,,
AK,840-02,96,,,,
AK,840-02,97,,,,
AK,840-02,98,,,,
AK,840-02,99,,,,
AK,840-02,100,,,,
