State,State Code,Region,Division
Alaska,2-AK,West,Pacific
Alabama,1-AL,South,East South Central
Arkansas,5-AR,South,West South Central
Arizona,4-AZ,West,Mountain
California,6-CA,West,Pacific
Colorado,8-CO,West,Mountain
Connecticut,9-CT,Northeast,New England
District of Columbia,11-DC,South,South Atlantic
Delaware,10-DE,South,South Atlantic
Florida,12-FL,South,South Atlantic
Georgia,13-GA,South,South Atlantic
Hawaii,15-HI,West,Pacific
Iowa,19-IA,Midwest,West North Central
Idaho,16-ID,West,Mountain
Illinois,17-IL,Midwest,East North Central
Indiana,18-IN,Midwest,East North Central
Kansas,20-KS,Midwest,West North Central
Kentucky,21-KY,South,East South Central
Louisiana,22-LA,South,West South Central
Massachusetts,25-MA,Northeast,New England
Maryland,24-MD,South,South Atlantic
Maine,23-ME,Northeast,New England
Michigan,26-MI,Midwest,East North Central
Minnesota,27-MN,Midwest,West North Central
Missouri,29-MO,Midwest,West North Central
Mississippi,28-MS,South,East South Central
Montana,30-MT,West,Mountain
North Carolina,37-NC,South,South Atlantic
North Dakota,38-ND,Midwest,West North Central
Nebraska,31-NE,Midwest,West North Central
New Hampshire,33-NH,Northeast,New England
New Jersey,34-NJ,Northeast,Middle Atlantic
New Mexico,35-NM,West,Mountain
Nevada,32-NV,West,Mountain
New York,36-NY,Northeast,Middle Atlantic
Ohio,39-OH,Midwest,East North Central
Oklahoma,40-OK,South,West South Central
Oregon,41-OR,West,Pacific
Pennsylvania,42-PA,Northeast,Middle Atlantic
Rhode Island,44-RI,Northeast,New England
South Carolina,45-SC,South,South Atlantic
South Dakota,46-SD,Midwest,West North Central
Tennessee,47-TN,South,East South Central
Texas,48-TX,South,West South Central
Utah,49-UT,West,Mountain
Virginia,51-VA,South,South Atlantic
Vermont,50-VT,Northeast,New England
Washington,53-WA,West,Pacific
Wisconsin,55-WI,Midwest,East North Central
West Virginia,54-WV,South,South Atlantic
Wyoming,56-WY,West,Mountain
