region,region.code,age,lx_rural_female,lx_rural_male,lx_urban_female,lx_urban_male,lx_national_female,lx_national_male,mx_rural_female,mx_rural_male,mx_urban_female,mx_urban_male,mx_national_female,mx_national_male
DC,840-11,0,1.00E+05,1.00E+05,1.00E+05,1.00E+05,NA,NA,0.007521994,0.008574131,0.007521994,0.008574131,NA,NA
DC,840-11,1,99252.79659,99149.00733,99252.79659,99149.00733,NA,NA,0.000808718,0.000763552,0.000808718,0.000763552,NA,NA
DC,840-11,2,99172.55958,99073.33006,99172.55958,99073.33006,NA,NA,0.000556486,0.000563833,0.000556486,0.000563833,NA,NA
DC,840-11,3,99117.38679,99017.48615,99117.38679,99017.48615,NA,NA,0.000428159,0.000438121,0.000428159,0.000438121,NA,NA
DC,840-11,4,99074.95788,98974.11442,99074.95788,98974.11442,NA,NA,0.000365266,0.000395672,0.000365266,0.000395672,NA,NA
DC,840-11,5,99038.77526,98934.96085,99038.77526,98934.96085,NA,NA,3.45E-04,0.000352532,3.45E-04,0.000352532,NA,NA
DC,840-11,6,99004.65824,98900.08925,99004.65824,98900.08925,NA,NA,3.12E-04,0.000318213,3.12E-04,0.000318213,NA,NA
DC,840-11,7,98973.80231,98868.62299,98973.80231,98868.62299,NA,NA,2.88E-04,0.000289182,2.88E-04,0.000289182,NA,NA
DC,840-11,8,98945.32457,98840.03581,98945.32457,98840.03581,NA,NA,2.68E-04,2.58E-04,2.68E-04,2.58E-04,NA,NA
DC,840-11,9,98918.78212,98814.56504,98918.78212,98814.56504,NA,NA,2.56E-04,2.32E-04,2.56E-04,2.32E-04,NA,NA
DC,840-11,10,98893.46718,98791.66796,98893.46718,98791.66796,NA,NA,2.53E-04,2.20E-04,2.53E-04,2.20E-04,NA,NA
DC,840-11,11,98868.40433,98769.9752,98868.40433,98769.9752,NA,NA,2.66E-04,2.40E-04,2.66E-04,2.40E-04,NA,NA
DC,840-11,12,98842.12542,98746.29452,98842.12542,98746.29452,NA,NA,3.00E-04,0.000308583,3.00E-04,0.000308583,NA,NA
DC,840-11,13,98812.49747,98715.82782,98812.49747,98715.82782,NA,NA,3.54E-04,0.000432617,3.54E-04,0.000432617,NA,NA
DC,840-11,14,98777.54493,98673.13093,98777.54493,98673.13093,NA,NA,0.000425962,0.000597179,0.000425962,0.000597179,NA,NA
DC,840-11,15,98735.47952,98614.22242,98735.47952,98614.22242,NA,NA,0.000501801,0.000765237,0.000501801,0.000765237,NA,NA
DC,840-11,16,98685.94573,98538.78729,98685.94573,98538.78729,NA,NA,0.000579255,0.000932815,0.000579255,0.000932815,NA,NA
DC,840-11,17,98628.79863,98446.91253,98628.79863,98446.91253,NA,NA,0.000658401,0.00112464,0.000658401,0.00112464,NA,NA
DC,840-11,18,98563.88348,98336.25848,98563.88348,98336.25848,NA,NA,7.32E-04,0.001338027,0.000731516,0.001338027,NA,NA
DC,840-11,19,98491.80878,98204.76986,98491.80878,98204.76986,NA,NA,0.000801093,0.001552489,0.000801093,0.001552489,NA,NA
DC,840-11,20,98412.93925,98052.42632,98412.93925,98052.42632,NA,NA,0.000869327,0.00176408,0.000869327,0.00176408,NA,NA
DC,840-11,21,98327.42435,97879.60647,98327.42435,97879.60647,NA,NA,0.000934504,0.001951447,0.000934504,0.001951447,NA,NA
DC,840-11,22,98235.58093,97688.78578,98235.58093,97688.78578,NA,NA,0.000991365,0.002086934,0.000991365,0.002086934,NA,NA
DC,840-11,23,98138.24186,97485.12648,98138.24186,97485.12648,NA,NA,0.001040286,0.002163568,0.001040286,0.002163568,NA,NA
DC,840-11,24,98036.20197,97274.43694,98036.20197,97274.43694,NA,NA,0.001086914,0.00220105,0.001086914,0.00220105,NA,NA
