region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
DC,840-11,0,,,,
DC,840-11,1,,,,
DC,840-11,2,,,,
DC,840-11,3,,,,
DC,840-11,4,,,,
DC,840-11,5,,,,
DC,840-11,6,,,,
DC,840-11,7,,,,
DC,840-11,8,,,,
DC,840-11,9,,,,
DC,840-11,10,,,,
DC,840-11,11,,,,
DC,840-11,12,,,,
DC,840-11,13,,,,
DC,840-11,14,,,,
DC,840-11,15,,,,
DC,840-11,16,,,,
DC,840-11,17,,,,
DC,840-11,18,,,,
DC,840-11,19,,,,
DC,840-11,20,,,,
DC,840-11,21,,,,
DC,840-11,22,,,,
DC,840-11,23,,,,
DC,840-11,24,,,,
DC,840-11,25,,,,
DC,840-11,26,,,,
DC,840-11,27,,,,
DC,840-11,28,,,,
DC,840-11,29,,,,
DC,840-11,30,,,,
DC,840-11,31,,,,
DC,840-11,32,,,,
DC,840-11,33,,,,
DC,840-11,34,,,,
DC,840-11,35,,,,
DC,840-11,36,,,,
DC,840-11,37,,,,
DC,840-11,38,,,,
DC,840-11,39,,,,
DC,840-11,40,,,,
DC,840-11,41,,,,
DC,840-11,42,,,,
DC,840-11,43,,,,
DC,840-11,44,,,,
DC,840-11,45,,,,
DC,840-11,46,,,,
DC,840-11,47,,,,
DC,840-11,48,,,,
DC,840-11,49,,,,
DC,840-11,50,,,,
DC,840-11,51,,,,
DC,840-11,52,,,,
DC,840-11,53,,,,
DC,840-11,54,,,,
DC,840-11,55,,,,
DC,840-11,56,,,,
DC,840-11,57,,,,
DC,840-11,58,,,,
DC,840-11,59,,,,
DC,840-11,60,,,,
DC,840-11,61,,,,
DC,840-11,62,,,,
DC,840-11,63,,,,
DC,840-11,64,,,,
DC,840-11,65,,,,
DC,840-11,66,,,,
DC,840-11,67,,,,
DC,840-11,68,,,,
DC,840-11,69,,,,
DC,840-11,70,,,,
DC,840-11,71,,,,
DC,840-11,72,,,,
DC,840-11,73,,,,
DC,840-11,74,,,,
DC,840-11,75,,,,
DC,840-11,76,,,,
DC,840-11,77,,,,
DC,840-11,78,,,,
DC,840-11,79,,,,
DC,840-11,80,,,,
DC,840-11,81,,,,
DC,840-11,82,,,,
DC,840-11,83,,,,
DC,840-11,84,,,,
DC,840-11,85,,,,
DC,840-11,86,,,,
DC,840-11,87,,,,
DC,840-11,88,,,,
DC,840-11,89,,,,
DC,840-11,90,,,,
DC,840-11,91,,,,
DC,840-11,92,,,,
DC,840-11,93,,,,
DC,840-11,94,,,,
DC,840-11,95,,,,
DC,840-11,96,,,,
DC,840-11,97,,,,
DC,840-11,98,,,,
DC,840-11,99,,,,
DC,840-11,100,,,,
