year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2015,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2020,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2025,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2030,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2035,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2040,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2045,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2050,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2055,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2060,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2065,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2070,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2075,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2080,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2085,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2090,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2095,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
2100,1.96,1.96,1.96,77.9,81.9,77.9,81.9,77.9,81.9,0.603,105,105,105,1714.127974,1595.694466
