region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
HI,840-15,0,,,7870,7960,,
HI,840-15,1,,,8440,9430,,
HI,840-15,2,,,8590,9110,,
HI,840-15,3,,,8290,9180,,
HI,840-15,4,,,8690,9080,,
HI,840-15,5,,,7920,8940,,
HI,840-15,6,,,8480,8840,,
HI,840-15,7,,,7780,8760,,
HI,840-15,8,,,8080,7770,,
HI,840-15,9,,,8120,8490,,
HI,840-15,10,,,7950,8780,,
HI,840-15,11,,,7630,8930,,
HI,840-15,12,,,8350,8100,,
HI,840-15,13,,,7900,8570,,
HI,840-15,14,,,8110,8520,,
HI,840-15,15,,,8570,8360,,
HI,840-15,16,,,8450,8970,,
HI,840-15,17,,,8300,8850,,
HI,840-15,18,,,8060,8520,,
HI,840-15,19,,,7790,9020,,
HI,840-15,20,,,8600,9280,,
HI,840-15,21,,,8290,10760,,
HI,840-15,22,,,8640,10370,,
HI,840-15,23,,,8620,10820,,
HI,840-15,24,,,8850,10490,,
HI,840-15,25,,,8750,9740,,
HI,840-15,26,,,8450,10300,,
HI,840-15,27,,,9720,10530,,
HI,840-15,28,,,9000,9760,,
HI,840-15,29,,,9520,9390,,
HI,840-15,30,,,9200,10310,,
HI,840-15,31,,,8740,9390,,
HI,840-15,32,,,8180,8850,,
HI,840-15,33,,,8280,8340,,
HI,840-15,34,,,8520,7640,,
HI,840-15,35,,,8380,8940,,
HI,840-15,36,,,8790,8190,,
HI,840-15,37,,,8220,8730,,
HI,840-15,38,,,8730,9140,,
HI,840-15,39,,,9280,9240,,
HI,840-15,40,,,9710,9920,,
HI,840-15,41,,,8430,9180,,
HI,840-15,42,,,8850,7990,,
HI,840-15,43,,,8670,8690,,
HI,840-15,44,,,8690,9240,,
HI,840-15,45,,,9870,9380,,
HI,840-15,46,,,9480,9160,,
HI,840-15,47,,,9710,10070,,
HI,840-15,48,,,9630,9460,,
HI,840-15,49,,,9380,9330,,
HI,840-15,50,,,9690,10390,,
HI,840-15,51,,,10030,9720,,
HI,840-15,52,,,9600,9740,,
HI,840-15,53,,,9490,9610,,
HI,840-15,54,,,9400,9460,,
HI,840-15,55,,,9760,9360,,
HI,840-15,56,,,10290,9460,,
HI,840-15,57,,,9540,9540,,
HI,840-15,58,,,9110,9210,,
HI,840-15,59,,,8860,8810,,
HI,840-15,60,,,9550,8530,,
HI,840-15,61,,,8740,8320,,
HI,840-15,62,,,8450,8720,,
HI,840-15,63,,,8260,7840,,
HI,840-15,64,,,6640,6600,,
HI,840-15,65,,,7000,6970,,
HI,840-15,66,,,6780,6510,,
HI,840-15,67,,,6220,5370,,
HI,840-15,68,,,5410,4930,,
HI,840-15,69,,,4860,4830,,
HI,840-15,70,,,4610,4550,,
HI,840-15,71,,,4590,4370,,
HI,840-15,72,,,4250,3820,,
HI,840-15,73,,,4210,3410,,
HI,840-15,74,,,3850,3230,,
HI,840-15,75,,,3960,3270,,
HI,840-15,76,,,3700,2810,,
HI,840-15,77,,,4070,2950,,
HI,840-15,78,,,4200,2820,,
HI,840-15,79,,,3950,3060,,
HI,840-15,80,,,3950,2920,,
HI,840-15,81,,,3710,2220,,
HI,840-15,82,,,3660,2540,,
HI,840-15,83,,,3400,2460,,
HI,840-15,84,,,3090,2070,,
HI,840-15,85,,,2850,2240,,
HI,840-15,86,,,2670,1580,,
HI,840-15,87,,,2530,1690,,
HI,840-15,88,,,1920,1300,,
HI,840-15,89,,,1950,1060,,
HI,840-15,90,,,1568.639294,979.9579613,,
HI,840-15,91,,,1227.355674,722.8019891,,
HI,840-15,92,,,1049.612839,578.4328729,,
HI,840-15,93,,,811.9750626,417.1117689,,
HI,840-15,94,,,648.797123,303.7288905,,
HI,840-15,95,,,507.6964994,219.946151,,
HI,840-15,96,,,384.0073146,152.6371953,,
HI,840-15,97,,,276.5899294,102.3911153,,
HI,840-15,98,,,191.8069035,65.85355202,,
HI,840-15,99,,,133.2509112,42.32452559,,
HI,840-15,100,,,230.2684497,64.81397795,,
