year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2015,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2020,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2025,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2030,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2035,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2040,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2045,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2050,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2055,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2060,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2065,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2070,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2075,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2080,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2085,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2090,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2095,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
2100,2.45,2.45,2.45,77.8,81.6,77.8,81.6,77.8,81.6,0.906,105,105,105,5454.747605,5077.865071
