region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
OR,840-41,0,,,21580,22560,,
OR,840-41,1,,,22740,24350,,
OR,840-41,2,,,24690,24710,,
OR,840-41,3,,,23510,24370,,
OR,840-41,4,,,24210,24410,,
OR,840-41,5,,,22520,25200,,
OR,840-41,6,,,22960,24170,,
OR,840-41,7,,,23640,24730,,
OR,840-41,8,,,22620,23820,,
OR,840-41,9,,,24510,24760,,
OR,840-41,10,,,24750,25040,,
OR,840-41,11,,,23570,25040,,
OR,840-41,12,,,23190,25100,,
OR,840-41,13,,,23210,25200,,
OR,840-41,14,,,22360,24860,,
OR,840-41,15,,,24350,25610,,
OR,840-41,16,,,23760,24390,,
OR,840-41,17,,,25480,26020,,
OR,840-41,18,,,25180,26750,,
OR,840-41,19,,,26900,27620,,
OR,840-41,20,,,25800,26940,,
OR,840-41,21,,,24950,26630,,
OR,840-41,22,,,24810,24590,,
OR,840-41,23,,,25200,24940,,
OR,840-41,24,,,24430,25890,,
OR,840-41,25,,,25950,26740,,
OR,840-41,26,,,25700,26350,,
OR,840-41,27,,,25420,27130,,
OR,840-41,28,,,27090,27740,,
OR,840-41,29,,,26660,27780,,
OR,840-41,30,,,27210,26890,,
OR,840-41,31,,,26020,25860,,
OR,840-41,32,,,26350,26610,,
OR,840-41,33,,,25290,25450,,
OR,840-41,34,,,24440,26020,,
OR,840-41,35,,,24410,25740,,
OR,840-41,36,,,23490,25450,,
OR,840-41,37,,,23390,25520,,
OR,840-41,38,,,25270,25280,,
OR,840-41,39,,,25660,27400,,
OR,840-41,40,,,26910,26470,,
OR,840-41,41,,,24880,25510,,
OR,840-41,42,,,23850,23800,,
OR,840-41,43,,,24210,24310,,
OR,840-41,44,,,23790,24640,,
OR,840-41,45,,,25070,25360,,
OR,840-41,46,,,25450,25630,,
OR,840-41,47,,,27660,26320,,
OR,840-41,48,,,26880,26500,,
OR,840-41,49,,,28000,26470,,
OR,840-41,50,,,29140,27180,,
OR,840-41,51,,,27040,26940,,
OR,840-41,52,,,28200,28000,,
OR,840-41,53,,,28700,26700,,
OR,840-41,54,,,28920,26340,,
OR,840-41,55,,,29100,27090,,
OR,840-41,56,,,28530,27810,,
OR,840-41,57,,,27870,27350,,
OR,840-41,58,,,26880,26090,,
OR,840-41,59,,,26770,25070,,
OR,840-41,60,,,26210,24880,,
OR,840-41,61,,,25520,24240,,
OR,840-41,62,,,25720,24360,,
OR,840-41,63,,,24580,24290,,
OR,840-41,64,,,18810,17880,,
OR,840-41,65,,,19160,18630,,
OR,840-41,66,,,18090,17360,,
OR,840-41,67,,,18630,16490,,
OR,840-41,68,,,16390,14880,,
OR,840-41,69,,,15370,14160,,
OR,840-41,70,,,13570,12930,,
OR,840-41,71,,,13290,11870,,
OR,840-41,72,,,13530,11250,,
OR,840-41,73,,,12010,10740,,
OR,840-41,74,,,11140,9750,,
OR,840-41,75,,,10190,9480,,
OR,840-41,76,,,9980,8370,,
OR,840-41,77,,,10200,8260,,
OR,840-41,78,,,10230,8200,,
OR,840-41,79,,,9490,7650,,
OR,840-41,80,,,9250,7030,,
OR,840-41,81,,,8920,6370,,
OR,840-41,82,,,8960,6090,,
OR,840-41,83,,,8170,6020,,
OR,840-41,84,,,8010,5370,,
OR,840-41,85,,,7680,4810,,
OR,840-41,86,,,6700,4290,,
OR,840-41,87,,,6120,3740,,
OR,840-41,88,,,5990,3070,,
OR,840-41,89,,,4950,2480,,
OR,840-41,90,,,4237.334309,2265.984985,,
OR,840-41,91,,,3315.431615,1671.355832,,
OR,840-41,92,,,2835.298408,1337.526972,,
OR,840-41,93,,,2193.372182,964.4995424,,
OR,840-41,94,,,1752.58284,702.3210509,,
OR,840-41,95,,,1371.430516,508.5878122,,
OR,840-41,96,,,1037.311366,352.9473776,,
OR,840-41,97,,,747.1469073,236.7619214,,
OR,840-41,98,,,518.1241958,152.2750628,,
OR,840-41,99,,,359.9480518,97.86821808,,
OR,840-41,100,,,622.0196103,149.8712257,,
