year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2015,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2020,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2025,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2030,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2035,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2040,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2045,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2050,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2055,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2060,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2065,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2070,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2075,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2080,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2085,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2090,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2095,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
2100,2.35,2.35,2.35,76.9,81.4,76.9,81.4,76.9,81.4,0.731,105,105,105,2762.224296,2571.375119
