year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2015,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2020,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2025,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2030,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2035,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2040,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2045,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2050,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2055,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2060,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2065,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2070,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2075,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2080,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2085,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2090,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2095,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
2100,2.08,2.08,2.08,78.2,82.5,78.2,82.5,78.2,82.5,0.733,105,105,105,7189.527723,6692.784772
