year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2015,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2020,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2025,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2030,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2035,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2040,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2045,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2050,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2055,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2060,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2065,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2070,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2075,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2080,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2085,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2090,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2095,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
2100,1.88,1.88,1.88,75.6,80.2,75.6,80.2,75.6,80.2,0.942,105,105,105,5503.796448,5123.525003
