year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2015,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2020,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2025,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2030,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2035,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2040,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2045,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2050,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2055,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2060,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2065,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2070,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2075,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2080,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2085,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2090,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2095,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
2100,1.92,1.92,1.92,73.7,79.2,73.7,79.2,73.7,79.2,0.663,105,105,105,9314.117065,8670.580774
