region,region.code,age,lx_rural_female,lx_rural_male,lx_urban_female,lx_urban_male,lx_national_female,lx_national_male,mx_rural_female,mx_rural_male,mx_urban_female,mx_urban_male,mx_national_female,mx_national_male
ID,840-16,61,90487.66661,85825.45965,90487.66661,85825.45965,NA,NA,0.007447223,0.011709912,0.007447223,0.011709912,NA,NA
ID,840-16,62,89816.28097,84826.30107,89816.28097,84826.30107,NA,NA,0.007999907,0.012543647,0.007999907,0.012543647,NA,NA
ID,840-16,63,89100.61757,83768.90772,89100.61757,83768.90772,NA,NA,0.008622206,0.013355961,0.008622206,0.013355961,NA,NA
ID,840-16,64,88335.67589,82657.51534,88335.67589,82657.51534,NA,NA,0.009312914,0.014161572,0.009312914,0.014161572,NA,NA
ID,840-16,65,87516.82624,81495.18523,87516.82624,81495.18523,NA,NA,0.010068234,0.014991469,0.010068234,0.014991469,NA,NA
ID,840-16,66,86640.10504,80282.53519,86640.10504,80282.53519,NA,NA,0.010902486,0.01592808,0.010902486,0.01592808,NA,NA
ID,840-16,67,85700.62824,79013.89973,85700.62824,79013.89973,NA,NA,0.011846192,0.017020254,0.011846192,0.017020254,NA,NA
ID,840-16,68,84691.374,77680.41939,84691.374,77680.41939,NA,NA,0.012924521,0.01835116,0.012924521,0.01835116,NA,NA
ID,840-16,69,83603.81324,76267.86349,83603.81324,76267.86349,NA,NA,0.014191429,0.019996727,0.014191429,0.019996727,NA,NA
ID,840-16,70,82425.71507,74757.86306,82425.71507,74757.86306,NA,NA,0.015689354,0.021948234,0.015689354,0.021948234,NA,NA
ID,840-16,71,81142.57467,73134.88144,81142.57467,73134.88144,NA,NA,0.017372037,0.024120002,0.017372037,0.024120002,NA,NA
ID,840-16,72,79745.09258,71391.88847,79745.09258,71391.88847,NA,NA,0.019168608,0.02648462,0.019168608,0.02648462,NA,NA
ID,840-16,73,78231.0017,69525.82534,78231.0017,69525.82534,NA,NA,0.021123126,0.028978476,0.021123126,0.028978476,NA,NA
ID,840-16,74,76595.78881,67539.84817,76595.78881,67539.84817,NA,NA,0.023233352,0.031617434,0.023233352,0.031617434,NA,NA
ID,840-16,75,74836.64729,65437.65988,74836.64729,65437.65988,NA,NA,0.025544154,0.034470456,0.025544154,0.034470456,NA,NA
ID,840-16,76,72949.11613,63220.17892,72949.11613,63220.17892,NA,NA,0.028238629,0.037817586,0.028238629,0.037817586,NA,NA
ID,840-16,77,70917.82781,60873.73145,70917.82781,60873.73145,NA,NA,0.031332523,0.041757366,0.031332523,0.041757366,NA,NA
ID,840-16,78,68730.06736,58383.81157,68730.06736,58383.81157,NA,NA,0.035025076,0.046110736,0.035025076,0.046110736,NA,NA
ID,840-16,79,66364.22346,55752.36012,66364.22346,55752.36012,NA,NA,0.039428684,0.051219157,0.039428684,0.051219157,NA,NA
ID,840-16,80,63798.13821,52968.05086,63798.13821,52968.05086,NA,NA,0.044078696,0.056980917,0.044078696,0.056980917,NA,NA
ID,840-16,81,61046.64065,50033.48972,61046.64065,50033.48972,NA,NA,0.049176667,0.063232658,0.049176667,0.063232658,NA,NA
ID,840-16,82,58116.63902,46966.6693,58116.63902,46966.6693,NA,NA,0.05470146,0.070233567,0.05470146,0.070233567,NA,NA
ID,840-16,83,55022.23573,43779.90635,55022.23573,43779.90635,NA,NA,0.061307787,0.078524204,0.061307787,0.078524204,NA,NA
ID,840-16,84,51749.27329,40471.99941,51749.27329,40471.99941,NA,NA,0.069063319,0.087439473,0.069063319,0.087439473,NA,NA
ID,840-16,85,48294.55906,37081.42801,48294.55906,37081.42801,NA,NA,0.077117574,0.097981443,0.077117574,0.097981443,NA,NA
ID,840-16,86,44708.43768,33617.77356,44708.43768,33617.77356,NA,NA,0.087102991,0.110035804,0.087102991,0.110035804,NA,NA
ID,840-16,87,40976.72087,30111.46847,40976.72087,30111.46847,NA,NA,0.098247445,0.123376057,0.098247445,0.123376057,NA,NA
ID,840-16,88,37139.4145,26612.35087,37139.4145,26612.35087,NA,NA,0.110647236,0.138075539,0.110647236,0.138075539,NA,NA
ID,840-16,89,33245.46815,23175.06767,33245.46815,23175.06767,NA,NA,0.124398885,0.154225618,0.124398885,0.154225618,NA,NA
ID,840-16,90,29351.8278,19856.68849,29351.8278,19856.68849,NA,NA,0.139607684,0.171892001,0.139607684,0.171892001,NA,NA
ID,840-16,91,25521.4614,16713.53482,25521.4614,16713.53482,NA,NA,0.156344678,0.19114227,0.156344678,0.19114227,NA,NA
ID,840-16,92,21820.54866,13797.64644,21820.54866,13797.64644,NA,NA,0.174698575,0.211973058,0.174698575,0.211973058,NA,NA
ID,840-16,93,18314.7582,11153.09275,18314.7582,11153.09275,NA,NA,0.194720357,0.234450954,0.194720357,0.234450954,NA,NA
ID,840-16,94,15064.90795,8812.604378,15064.90795,8812.604378,NA,NA,0.216451054,0.25852889,0.216451054,0.25852889,NA,NA
ID,840-16,95,12122.53285,6795.085063,12122.53285,6795.085063,NA,NA,0.239916196,0.284173916,0.239916196,0.284173916,NA,NA
ID,840-16,96,9525.761125,5104.332957,9525.761125,5104.332957,NA,NA,0.265065734,0.311310041,0.265065734,0.311310041,NA,NA
ID,840-16,97,7296.286877,3729.329108,7296.286877,3729.329108,NA,NA,0.291882331,0.339882512,0.291882331,0.339882512,NA,NA
ID,840-16,98,5437.851832,2646.070995,5437.851832,2646.070995,NA,NA,0.320297407,0.369661921,0.320297407,0.369661921,NA,NA
ID,840-16,99,3936.684949,1820.680218,3936.684949,1820.680218,NA,NA,0.350134737,0.400513282,0.350134737,0.400513282,NA,NA
ID,840-16,100,2763.812715,1213.322557,2763.812715,1213.322557,NA,NA,0.472848777,0.472848777,0.472848777,0.472848777,NA,NA
