year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2015,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2020,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2025,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2030,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2035,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2040,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2045,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2050,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2055,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2060,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2065,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2070,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2075,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2080,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2085,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2090,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2095,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
2100,2.15,2.15,2.15,75.8,80.5,75.8,80.5,75.8,80.5,0.742,105,105,105,6030.426126,5613.768484
