region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
WY,840-56,0,,,,
WY,840-56,1,,,,
WY,840-56,2,,,,
WY,840-56,3,,,,
WY,840-56,4,,,,
WY,840-56,5,,,,
WY,840-56,6,,,,
WY,840-56,7,,,,
WY,840-56,8,,,,
WY,840-56,9,,,,
WY,840-56,10,,,,
WY,840-56,11,,,,
WY,840-56,12,,,,
WY,840-56,13,,,,
WY,840-56,14,,,,
WY,840-56,15,,,,
WY,840-56,16,,,,
WY,840-56,17,,,,
WY,840-56,18,,,,
WY,840-56,19,,,,
WY,840-56,20,,,,
WY,840-56,21,,,,
WY,840-56,22,,,,
WY,840-56,23,,,,
WY,840-56,24,,,,
WY,840-56,25,,,,
WY,840-56,26,,,,
WY,840-56,27,,,,
WY,840-56,28,,,,
WY,840-56,29,,,,
WY,840-56,30,,,,
WY,840-56,31,,,,
WY,840-56,32,,,,
WY,840-56,33,,,,
WY,840-56,34,,,,
WY,840-56,35,,,,
WY,840-56,36,,,,
WY,840-56,37,,,,
WY,840-56,38,,,,
WY,840-56,39,,,,
WY,840-56,40,,,,
WY,840-56,41,,,,
WY,840-56,42,,,,
WY,840-56,43,,,,
WY,840-56,44,,,,
WY,840-56,45,,,,
WY,840-56,46,,,,
WY,840-56,47,,,,
WY,840-56,48,,,,
WY,840-56,49,,,,
WY,840-56,50,,,,
WY,840-56,51,,,,
WY,840-56,52,,,,
WY,840-56,53,,,,
WY,840-56,54,,,,
WY,840-56,55,,,,
WY,840-56,56,,,,
WY,840-56,57,,,,
WY,840-56,58,,,,
WY,840-56,59,,,,
WY,840-56,60,,,,
WY,840-56,61,,,,
WY,840-56,62,,,,
WY,840-56,63,,,,
WY,840-56,64,,,,
WY,840-56,65,,,,
WY,840-56,66,,,,
WY,840-56,67,,,,
WY,840-56,68,,,,
WY,840-56,69,,,,
WY,840-56,70,,,,
WY,840-56,71,,,,
WY,840-56,72,,,,
WY,840-56,73,,,,
WY,840-56,74,,,,
WY,840-56,75,,,,
WY,840-56,76,,,,
WY,840-56,77,,,,
WY,840-56,78,,,,
WY,840-56,79,,,,
WY,840-56,80,,,,
WY,840-56,81,,,,
WY,840-56,82,,,,
WY,840-56,83,,,,
WY,840-56,84,,,,
WY,840-56,85,,,,
WY,840-56,86,,,,
WY,840-56,87,,,,
WY,840-56,88,,,,
WY,840-56,89,,,,
WY,840-56,90,,,,
WY,840-56,91,,,,
WY,840-56,92,,,,
WY,840-56,93,,,,
WY,840-56,94,,,,
WY,840-56,95,,,,
WY,840-56,96,,,,
WY,840-56,97,,,,
WY,840-56,98,,,,
WY,840-56,99,,,,
WY,840-56,100,,,,
