year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2015,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2020,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2025,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2030,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2035,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2040,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2045,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2050,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2055,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2060,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2065,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2070,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2075,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2080,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2085,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2090,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2095,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
2100,1.98,1.98,1.98,75.5,80.1,75.5,80.1,75.5,80.1,0.746,105,105,105,13116.69313,12210.42708
