year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2015,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2020,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2025,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2030,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2035,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2040,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2045,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2050,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2055,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2060,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2065,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2070,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2075,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2080,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2085,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2090,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2095,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
2100,1.52,1.52,1.52,77.3,81.6,77.3,81.6,77.3,81.6,0.389,105,105,105,637.6349543,593.5791162
