region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
IA,840-19,0,,,18720,19450,,
IA,840-19,1,,,19440,20060,,
IA,840-19,2,,,20530,20920,,
IA,840-19,3,,,19780,21030,,
IA,840-19,4,,,20220,21260,,
IA,840-19,5,,,19920,20540,,
IA,840-19,6,,,20110,20920,,
IA,840-19,7,,,19400,20650,,
IA,840-19,8,,,19510,20590,,
IA,840-19,9,,,19510,20530,,
IA,840-19,10,,,19360,21180,,
IA,840-19,11,,,19840,20040,,
IA,840-19,12,,,20110,20600,,
IA,840-19,13,,,19630,21620,,
IA,840-19,14,,,18410,20730,,
IA,840-19,15,,,19700,20560,,
IA,840-19,16,,,19950,21900,,
IA,840-19,17,,,21010,21030,,
IA,840-19,18,,,21980,22620,,
IA,840-19,19,,,23100,24980,,
IA,840-19,20,,,23790,24130,,
IA,840-19,21,,,21760,22740,,
IA,840-19,22,,,20270,21210,,
IA,840-19,23,,,18210,20310,,
IA,840-19,24,,,19020,20920,,
IA,840-19,25,,,19770,21010,,
IA,840-19,26,,,18880,20400,,
IA,840-19,27,,,18980,20200,,
IA,840-19,28,,,19210,19730,,
IA,840-19,29,,,19490,19920,,
IA,840-19,30,,,20450,20300,,
IA,840-19,31,,,18020,19470,,
IA,840-19,32,,,18570,19020,,
IA,840-19,33,,,17700,18190,,
IA,840-19,34,,,16460,17500,,
IA,840-19,35,,,17590,18940,,
IA,840-19,36,,,16060,17150,,
IA,840-19,37,,,16780,16720,,
IA,840-19,38,,,17560,18430,,
IA,840-19,39,,,18750,18870,,
IA,840-19,40,,,19030,20270,,
IA,840-19,41,,,17800,18320,,
IA,840-19,42,,,17530,18490,,
IA,840-19,43,,,18140,18970,,
IA,840-19,44,,,19020,18690,,
IA,840-19,45,,,20410,20080,,
IA,840-19,46,,,21470,21730,,
IA,840-19,47,,,21380,21150,,
IA,840-19,48,,,23190,21540,,
IA,840-19,49,,,22240,22770,,
IA,840-19,50,,,23480,23330,,
IA,840-19,51,,,22310,22240,,
IA,840-19,52,,,23370,22430,,
IA,840-19,53,,,21390,22440,,
IA,840-19,54,,,22620,21610,,
IA,840-19,55,,,22570,21700,,
IA,840-19,56,,,20830,21410,,
IA,840-19,57,,,19920,20440,,
IA,840-19,58,,,19780,20590,,
IA,840-19,59,,,19480,19170,,
IA,840-19,60,,,18040,18170,,
IA,840-19,61,,,17860,17770,,
IA,840-19,62,,,18150,16980,,
IA,840-19,63,,,17540,16620,,
IA,840-19,64,,,13040,12770,,
IA,840-19,65,,,13760,12510,,
IA,840-19,66,,,13460,12980,,
IA,840-19,67,,,13990,13150,,
IA,840-19,68,,,12610,11020,,
IA,840-19,69,,,11810,10590,,
IA,840-19,70,,,11680,9820,,
IA,840-19,71,,,10770,10190,,
IA,840-19,72,,,10560,9150,,
IA,840-19,73,,,10750,8730,,
IA,840-19,74,,,10780,8490,,
IA,840-19,75,,,10040,8130,,
IA,840-19,76,,,9520,7170,,
IA,840-19,77,,,9030,7510,,
IA,840-19,78,,,9110,7160,,
IA,840-19,79,,,9360,6790,,
IA,840-19,80,,,9000,5810,,
IA,840-19,81,,,9160,5850,,
IA,840-19,82,,,8010,6160,,
IA,840-19,83,,,8390,5110,,
IA,840-19,84,,,8090,4640,,
IA,840-19,85,,,7560,4200,,
IA,840-19,86,,,6220,3810,,
IA,840-19,87,,,5980,3170,,
IA,840-19,88,,,5380,2860,,
IA,840-19,89,,,4900,2070,,
IA,840-19,90,,,4601.044415,1847.153637,,
IA,840-19,91,,,3600.010526,1362.432243,,
IA,840-19,92,,,3078.665253,1090.306347,,
IA,840-19,93,,,2381.639515,786.2271151,,
IA,840-19,94,,,1903.015174,572.5081552,,
IA,840-19,95,,,1489.146774,414.5834299,,
IA,840-19,96,,,1126.348624,287.7106585,,
IA,840-19,97,,,811.2780005,193.0002392,,
IA,840-19,98,,,562.5972047,124.129435,,
IA,840-19,99,,,390.8440668,79.7788318,,
IA,840-19,100,,,675.4104458,122.1699091,,
