region,region.code,age,lx_rural_female,lx_rural_male,lx_urban_female,lx_urban_male,lx_national_female,lx_national_male,mx_rural_female,mx_rural_male,mx_urban_female,mx_urban_male,mx_national_female,mx_national_male
MD,840-24,63,89332.35714,81952.33909,89332.35714,81952.33909,NA,NA,0.008597995,0.014374367,0.008597995,0.014374367,NA,NA
MD,840-24,64,88567.57018,80782.73225,88567.57018,80782.73225,NA,NA,0.009302089,0.015203846,0.009302089,0.015203846,NA,NA
MD,840-24,65,87747.52084,79563.79033,87747.52084,79563.79033,NA,NA,0.010073353,0.016056275,0.010073353,0.016056275,NA,NA
MD,840-24,66,86868.04392,78296.45845,86868.04392,78296.45845,NA,NA,0.010926697,0.017016011,0.010926697,0.017016011,NA,NA
MD,840-24,67,85924.01504,76975.4131,85924.01504,76975.4131,NA,NA,0.011893733,0.018132194,0.011893733,0.018132194,NA,NA
MD,840-24,68,84908.09316,75592.22918,84908.09316,75592.22918,NA,NA,0.013000806,0.019488391,0.013000806,0.019488391,NA,NA
MD,840-24,69,83811.35549,74133.28429,83811.35549,74133.28429,NA,NA,0.014304109,0.021159685,0.014304109,0.021159685,NA,NA
MD,840-24,70,82621.02202,72581.07994,82621.02202,72581.07994,NA,NA,0.015848417,0.023134465,0.015848417,0.023134465,NA,NA
MD,840-24,71,81321.90406,70921.16755,81321.90406,70921.16755,NA,NA,0.017587163,0.025323768,0.017587163,0.025323768,NA,NA
MD,840-24,72,79904.14059,69147.63266,79904.14059,69147.63266,NA,NA,0.019447808,0.027698496,0.019447808,0.027698496,NA,NA
MD,840-24,73,78365.14527,67258.5236,78365.14527,67258.5236,NA,NA,0.021476557,0.030193802,0.021476557,0.030193802,NA,NA
MD,840-24,74,76700.01239,65257.93572,76700.01239,65257.93572,NA,NA,0.023671778,0.032825061,0.023671778,0.032825061,NA,NA
MD,840-24,75,74905.62493,63150.44532,74905.62493,63150.44532,NA,NA,0.026080955,0.03565998,0.026080955,0.03565998,NA,NA
MD,840-24,76,72977.16277,60937.91619,72977.16277,60937.91619,NA,NA,0.028896559,0.038974409,0.028896559,0.038974409,NA,NA
MD,840-24,77,70898.4231,58608.31337,70898.4231,58608.31337,NA,NA,0.032137343,0.042861234,0.032137343,0.042861234,NA,NA
MD,840-24,78,68655.96943,56149.01386,68655.96943,56149.01386,NA,NA,0.036015166,0.047139936,0.036015166,0.047139936,NA,NA
MD,840-24,79,66227.05223,53563.10276,66227.05223,53563.10276,NA,NA,0.040652575,0.052141632,0.040652575,0.052141632,NA,NA
MD,840-24,80,63588.36559,50841.17289,63588.36559,50841.17289,NA,NA,0.04556324,0.057761292,0.04556324,0.057761292,NA,NA
MD,840-24,81,60755.6084,47986.95276,60755.6084,47986.95276,NA,NA,0.050961731,0.063835925,0.050961731,0.063835925,NA,NA
MD,840-24,82,57736.35705,45018.38124,57736.35705,45018.38124,NA,NA,0.056828095,0.070613915,0.056828095,0.070613915,NA,NA
MD,840-24,83,54545.99062,41947.83474,54545.99062,41947.83474,NA,NA,0.063862641,0.07861149,0.063862641,0.07861149,NA,NA
MD,840-24,84,51170.32894,38774.96495,51170.32894,38774.96495,NA,NA,0.072145928,0.087181367,0.072145928,0.087181367,NA,NA
MD,840-24,85,47607.09703,35535.75195,47607.09703,35535.75195,NA,NA,0.080774359,0.097280477,0.080774359,0.097280477,NA,NA
MD,840-24,86,43910.9015,32239.11924,43910.9015,32239.11924,NA,NA,0.091505216,0.108790368,0.091505216,0.108790368,NA,NA
MD,840-24,87,40068.61939,28912.70222,40068.61939,28912.70222,NA,NA,0.103521606,0.121489105,0.103521606,0.121489105,NA,NA
MD,840-24,88,36124.83791,25601.33041,36124.83791,25601.33041,NA,NA,0.11693653,0.135443156,0.11693653,0.135443156,NA,NA
MD,840-24,89,32133.8697,22353.67603,32133.8697,22353.67603,NA,NA,0.131864501,0.150737731,0.131864501,0.150737731,NA,NA
MD,840-24,90,28158.52297,19220.22483,28158.52297,19220.22483,NA,NA,0.148431229,0.167434797,0.148431229,0.167434797,NA,NA
MD,840-24,91,24267.6801,16250.61618,24267.6801,16250.61618,NA,NA,0.166725328,0.185599999,0.166725328,0.185599999,NA,NA
MD,840-24,92,20532.90133,13490.71265,20532.90133,13490.71265,NA,NA,0.18685677,0.205234268,0.18685677,0.205234268,NA,NA
MD,840-24,93,17024.01892,10979.54272,17024.01892,10979.54272,NA,NA,0.208894061,0.226406843,0.208894061,0.226406843,NA,NA
MD,840-24,94,13804.11217,8746.488495,13804.11217,8746.488495,NA,NA,0.232895752,0.24908274,0.232895752,0.24908274,NA,NA
MD,840-24,95,10924.51595,6809.165977,10924.51595,6809.165977,NA,NA,0.258903959,0.273242792,0.258903959,0.273242792,NA,NA
MD,840-24,96,8420.399529,5172.248414,8420.399529,5172.248414,NA,NA,0.286874329,0.298829834,0.286874329,0.298829834,NA,NA
MD,840-24,97,6307.824792,3827.545026,6307.824792,3827.545026,NA,NA,0.316801475,0.325807428,0.316801475,0.325807428,NA,NA
MD,840-24,98,4582.749752,2755.343872,4582.749752,2755.343872,NA,NA,0.348621629,0.353979106,0.348621629,0.353979106,NA,NA
MD,840-24,99,3222.381845,1926.841271,3222.381845,1926.841271,NA,NA,0.382144114,0.383234999,0.382144114,0.383234999,NA,NA
MD,840-24,100,2188.645628,1307.333093,2188.645628,1307.333093,NA,NA,0.36464495,0.36464495,0.36464495,0.36464495,NA,NA
