year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2015,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2020,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2025,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2030,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2035,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2040,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2045,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2050,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2055,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2060,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2065,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2070,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2075,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2080,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2085,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2090,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2095,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
2100,1.96,1.96,1.96,74.6,79.6,74.6,79.6,74.6,79.6,0.494,105,105,105,12189.92815,11347.69468
