from,to,gender,age,rate,ratemavg
AK,AL,m,00-04,0.003090408,0.003090408
AK,AL,m,05-09,0.002499991,0.0027952
AK,AL,m,10-14,0.000469558,0.002019986
AK,AL,m,15-19,0.001489996,0.001486515
AK,AL,m,20-24,0.000886386,0.000948646
AK,AL,m,25-29,0.004172567,0.002182983
AK,AL,m,30-34,0.000118352,0.001725768
AK,AL,m,35-39,0.002400702,0.00223054
AK,AL,m,40-44,0.001099135,0.001206063
AK,AL,m,45-49,0.001872999,0.001790946
AK,AL,m,50-54,0,0.000990712
AK,AL,m,55-59,0,0.000624333
AK,AL,m,60-64,0.00150512,0.000501707
AK,AL,m,65-69,0,0.000501707
AK,AL,m,70-74,0,0.000501707
AK,AL,m,75-79,0,0
AK,AL,m,80-84,0,0
AK,AL,m,85-89,0,0
AK,AL,m,90-94,0,0
AK,AL,m,95-99,0,0
AK,AL,f,00-04,0.002149839,0.002149839
AK,AL,f,05-09,0.001244474,0.001697156
AK,AL,f,10-14,0.002292192,0.001895501
AK,AL,f,15-19,0.00153819,0.001691619
AK,AL,f,20-24,0.001221764,0.001684049
AK,AL,f,25-29,0.004635661,0.002465205
AK,AL,f,30-34,0.002581086,0.002812837
AK,AL,f,35-39,0.003045834,0.00342086
AK,AL,f,40-44,0.003371772,0.002999564
AK,AL,f,45-49,0.00246088,0.002959496
AK,AL,f,50-54,3.88E-05,0.001957145
AK,AL,f,55-59,0.00020197,0.000900544
AK,AL,f,60-64,0,8.0251E-05
AK,AL,f,65-69,0,6.73235E-05
AK,AL,f,70-74,0.000494414,0.000164805
AK,AL,f,75-79,0.00113593,0.000543448
AK,AL,f,80-84,0,0.000543448
AK,AL,f,85-89,0,0.000378643
AK,AL,f,90-94,0,0
AK,AL,f,95-99,0,0
AK,AR,m,00-04,0,0
AK,AR,m,05-09,0.00046717,0.000233585
AK,AR,m,10-14,0.00050763,0.000324933
AK,AR,m,15-19,0.0007026,0.000559133
AK,AR,m,20-24,0.001672046,0.000960759
AK,AR,m,25-29,0.001141116,0.001171921
AK,AR,m,30-34,0.000131502,0.000981555
AK,AR,m,35-39,0.002849026,0.001373882
AK,AR,m,40-44,7.7586E-05,0.001019371
AK,AR,m,45-49,0.001075709,0.001334107
AK,AR,m,50-54,0.000895958,0.000683084
AK,AR,m,55-59,0,0.000657222
AK,AR,m,60-64,0.000287495,0.000394484
AK,AR,m,65-69,0.000114846,0.000134114
AK,AR,m,70-74,0,0.000134114
