region,region.code,age,lx_rural_female,lx_rural_male,lx_urban_female,lx_urban_male,lx_national_female,lx_national_male,mx_rural_female,mx_rural_male,mx_urban_female,mx_urban_male,mx_national_female,mx_national_male
AR,840-05,68,80180.35985,69674.43325,80180.35985,69674.43325,NA,NA,0.015995722,0.024521253,0.015995722,0.024521253,NA,NA
AR,840-05,69,78908.00281,67986.63651,78908.00281,67986.63651,NA,NA,0.017450283,0.026563512,0.017450283,0.026563512,NA,NA
AR,840-05,70,77542.94618,66204.35966,77542.94618,66204.35966,NA,NA,0.019158388,0.028970277,0.019158388,0.028970277,NA,NA
AR,840-05,71,76071.44414,64313.80243,76071.44414,64313.80243,NA,NA,0.021063471,0.031630978,0.021063471,0.031630978,NA,NA
AR,840-05,72,74485.80282,62311.16662,74485.80282,62311.16662,NA,NA,0.023083197,0.034508947,0.023083197,0.034508947,NA,NA
AR,840-05,73,72786.05019,60197.36543,72786.05019,60197.36543,NA,NA,0.025265244,0.037524352,0.025265244,0.037524352,NA,NA
AR,840-05,74,70970.03395,57980.09902,70970.03395,57980.09902,NA,NA,0.027605044,0.040695359,0.027605044,0.040695359,NA,NA
AR,840-05,75,69037.57585,55667.65289,69037.57585,55667.65289,NA,NA,0.030149909,0.044101951,0.030149909,0.044101951,NA,NA
AR,840-05,76,66987.01136,53265.52329,66987.01136,53265.52329,NA,NA,0.033096684,0.048073685,0.033096684,0.048073685,NA,NA
AR,840-05,77,64806.07242,50764.98352,64806.07242,50764.98352,NA,NA,0.036455405,0.052716069,0.036455405,0.052716069,NA,NA
AR,840-05,78,62485.83342,48157.60566,62485.83342,48157.60566,NA,NA,0.040433071,0.057809021,0.040433071,0.057809021,NA,NA
AR,840-05,79,60009.4041,45451.86959,60009.4041,45451.86959,NA,NA,0.045137327,0.063741116,0.045137327,0.063741116,NA,NA
AR,840-05,80,57360.4987,42644.1679,57360.4987,42644.1679,NA,NA,0.050063767,0.070380857,0.050063767,0.070380857,NA,NA
AR,840-05,81,54558.94423,39744.86261,54558.94423,39744.86261,NA,NA,0.055421593,0.077529492,0.055421593,0.077529492,NA,NA
AR,840-05,82,51616.75899,36778.41967,51616.75899,36778.41967,NA,NA,0.061182388,0.085473719,0.061182388,0.085473719,NA,NA
AR,840-05,83,48552.49251,33763.63344,48552.49251,33763.63344,NA,NA,0.06801543,0.094806832,0.06801543,0.094806832,NA,NA
AR,840-05,84,45358.78456,30707.48233,45358.78456,30707.48233,NA,NA,0.075968834,0.104762178,0.075968834,0.104762178,NA,NA
AR,840-05,85,42038.99423,27650.66649,42038.99423,27650.66649,NA,NA,0.084159565,0.116436323,0.084159565,0.116436323,NA,NA
AR,840-05,86,38643.83826,24608.19965,38643.83826,24608.19965,NA,NA,0.094228036,0.129672381,0.094228036,0.129672381,NA,NA
AR,840-05,87,35166.34401,21611.43811,35166.34401,21611.43811,NA,NA,0.105365792,0.144196419,0.105365792,0.144196419,NA,NA
AR,840-05,88,31646.4982,18704.77266,31646.4982,18704.77266,NA,NA,0.117649557,0.160062918,0.117649557,0.160062918,NA,NA
AR,840-05,89,28130.15011,15932.62494,28130.15011,15932.62494,NA,NA,0.131155301,0.177352441,0.131155301,0.177352441,NA,NA
AR,840-05,90,24667.67695,13337.0309,24667.67695,13337.0309,NA,NA,0.1459676,0.19611232,0.1459676,0.19611232,NA,NA
AR,840-05,91,21311.91183,10954.97311,21311.91183,10954.97311,NA,NA,0.162133522,0.216396161,0.162133522,0.216396161,NA,NA
AR,840-05,92,18115.58345,8815.886929,18115.58345,8815.886929,NA,NA,0.179720675,0.238171653,0.179720675,0.238171653,NA,NA
AR,840-05,93,15128.27877,6939.548975,15128.27877,6939.548975,NA,NA,0.198758003,0.261502147,0.198758003,0.261502147,NA,NA
AR,840-05,94,12393.21973,5334.68032,12393.21973,5334.68032,NA,NA,0.219267694,0.286315613,0.219267694,0.286315613,NA,NA
AR,840-05,95,9944.274322,3998.554846,9944.274322,3998.554846,NA,NA,0.241259477,0.31256757,0.241259477,0.31256757,NA,NA
AR,840-05,96,7803.465637,2917.662258,7803.465637,2917.662258,NA,NA,0.264671672,0.340171069,0.264671672,0.340171069,NA,NA
AR,840-05,97,5979.487069,2069.430004,5979.487069,2069.430004,NA,NA,0.289481594,0.369074484,0.289481594,0.369074484,NA,NA
AR,840-05,98,4467.396775,1424.744487,4467.396775,1424.744487,NA,NA,0.315620885,0.399029185,0.315620885,0.399029185,NA,NA
AR,840-05,99,3249.683278,950.8955242,3249.683278,950.8955242,NA,NA,0.342922833,0.429910175,0.342922833,0.429910175,NA,NA
AR,840-05,100,2298.513633,614.5308589,2298.513633,614.5308589,NA,NA,0.491557629,0.491557629,0.491557629,0.491557629,NA,NA
