year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2015,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2020,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2025,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2030,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2035,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2040,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2045,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2050,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2055,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2060,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2065,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2070,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2075,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2080,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2085,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2090,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2095,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
2100,2.14,2.14,2.14,75.2,80.6,75.2,80.6,75.2,80.6,0.774,105,105,105,4509.912005,4198.310591
