year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2015,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2020,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2025,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2030,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2035,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2040,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2045,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2050,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2055,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2060,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2065,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2070,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2075,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2080,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2085,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2090,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2095,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
2100,1.87,1.87,1.87,76.1,80.8,76.1,80.8,76.1,80.8,0.874,105,105,105,11301.88595,10521.0096
