year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2015,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2020,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2025,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2030,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2035,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2040,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2045,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2050,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2055,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2060,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2065,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2070,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2075,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2080,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2085,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2090,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2095,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
2100,1.99,1.99,1.99,74.7,79.8,74.7,79.8,74.7,79.8,0.724,105,105,105,10744.27806,10001.92827
