region,region.code,age,lx_rural_female,lx_rural_male,lx_urban_female,lx_urban_male,lx_national_female,lx_national_male,mx_rural_female,mx_rural_male,mx_urban_female,mx_urban_male,mx_national_female,mx_national_male
VT,840-50,77,72257.51142,61371.40926,72257.51142,61371.40926,NA,NA,0.029620382,0.040726673,0.029620382,0.040726673,NA,NA
VT,840-50,78,70148.45188,58921.85675,70148.45188,58921.85675,NA,NA,0.033107297,0.044928635,0.033107297,0.044928635,NA,NA
VT,840-50,79,67863.84483,56332.74087,67863.84483,56332.74087,NA,NA,0.037264306,0.049852002,0.037264306,0.049852002,NA,NA
VT,840-50,80,65381.18478,53592.71455,65381.18478,53592.71455,NA,NA,0.041652229,0.055395838,0.041652229,0.055395838,NA,NA
VT,840-50,81,62713.47081,50703.91498,62713.47081,50703.91498,NA,NA,0.046460859,0.061400547,0.046460859,0.061400547,NA,NA
VT,840-50,82,59865.92164,47683.36833,59865.92164,47683.36833,NA,NA,0.05166971,0.06811221,0.05166971,0.06811221,NA,NA
VT,840-50,83,56850.59277,44542.48154,56850.59277,44542.48154,NA,NA,0.057894955,0.076043687,0.057894955,0.076043687,NA,NA
VT,840-50,84,53651.82648,41279.37631,53651.82648,41279.37631,NA,NA,0.06519845,0.084553309,0.06519845,0.084553309,NA,NA
VT,840-50,85,50264.21208,37930.6821,50264.21208,37930.6821,NA,NA,0.072777828,0.094590577,0.072777828,0.094590577,NA,NA
VT,840-50,86,46734.49846,34504.77878,46734.49846,34504.77878,NA,NA,0.082166744,0.106035495,0.082166744,0.106035495,NA,NA
VT,840-50,87,43046.01232,31030.20801,43046.01232,31030.20801,NA,NA,0.092635277,0.118662282,0.092635277,0.118662282,NA,NA
VT,840-50,88,39234.99618,27554.37786,39234.99618,27554.37786,NA,NA,0.104270444,0.13252981,0.104270444,0.13252981,NA,NA
VT,840-50,89,35346.66474,24129.48391,35346.66474,24129.48391,NA,NA,0.117158498,0.147711679,0.117158498,0.147711679,NA,NA
VT,840-50,90,31434.55427,20810.3393,31434.55427,20810.3393,NA,NA,0.131392413,0.164255804,0.131392413,0.164255804,NA,NA
VT,840-50,91,27558.90763,17651.4662,27558.90763,17651.4662,NA,NA,0.147033338,0.182209639,0.147033338,0.182209639,NA,NA
VT,840-50,92,23784.25537,14703.83825,23784.25537,14703.83825,NA,NA,0.164156422,0.201554071,0.164156422,0.201554071,NA,NA
VT,840-50,93,20176.07046,12011.44347,20176.07046,12011.44347,NA,NA,0.182801622,0.22233164,0.182801622,0.22233164,NA,NA
VT,840-50,94,16796.7268,9608.090279,16796.7268,9608.090279,NA,NA,0.202997923,0.244480384,0.202997923,0.244480384,NA,NA
VT,840-50,95,13701.21716,7514.964742,13701.21716,7514.964742,NA,NA,0.224758518,0.26795027,0.224758518,0.26795027,NA,NA
VT,840-50,96,10932.96259,5739.231953,10932.96259,5739.231953,NA,NA,0.248027864,0.292652231,0.248027864,0.292652231,NA,NA
VT,840-50,97,8520.466371,4274.030201,8520.466371,4274.030201,NA,NA,0.272777145,0.318515779,0.272777145,0.318515779,NA,NA
VT,840-50,98,6475.225377,3099.86718,6475.225377,3099.86718,NA,NA,0.29893043,0.345317666,0.29893043,0.345317666,NA,NA
VT,840-50,99,4791.414783,2187.215481,4791.414783,2187.215481,NA,NA,0.326316562,0.372920118,0.326316562,0.372920118,NA,NA
VT,840-50,100,3447.366892,1499.941413,3447.366892,1499.941413,NA,NA,0.437438817,0.437438817,0.437438817,0.437438817,NA,NA
