region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
GA,840-13,0,,,62780,68120,,
GA,840-13,1,,,64560,68880,,
GA,840-13,2,,,67750,71730,,
GA,840-13,3,,,68180,72530,,
GA,840-13,4,,,68750,72490,,
GA,840-13,5,,,67750,71710,,
GA,840-13,6,,,67400,69910,,
GA,840-13,7,,,66580,69620,,
GA,840-13,8,,,68970,69320,,
GA,840-13,9,,,69520,71470,,
GA,840-13,10,,,68760,73890,,
GA,840-13,11,,,66960,71510,,
GA,840-13,12,,,67060,70310,,
GA,840-13,13,,,67160,68800,,
GA,840-13,14,,,65190,68470,,
GA,840-13,15,,,67550,71140,,
GA,840-13,16,,,69060,70280,,
GA,840-13,17,,,70080,74010,,
GA,840-13,18,,,69300,72560,,
GA,840-13,19,,,71120,74240,,
GA,840-13,20,,,70370,72180,,
GA,840-13,21,,,68970,71660,,
GA,840-13,22,,,65920,68300,,
GA,840-13,23,,,65100,67300,,
GA,840-13,24,,,68030,66520,,
GA,840-13,25,,,66620,67320,,
GA,840-13,26,,,67510,64180,,
GA,840-13,27,,,68570,67000,,
GA,840-13,28,,,67090,67000,,
GA,840-13,29,,,70880,66720,,
GA,840-13,30,,,70390,69940,,
GA,840-13,31,,,67320,65260,,
GA,840-13,32,,,66710,64200,,
GA,840-13,33,,,65080,62730,,
GA,840-13,34,,,66610,63080,,
GA,840-13,35,,,67650,64380,,
GA,840-13,36,,,66960,63400,,
GA,840-13,37,,,70310,67150,,
GA,840-13,38,,,74210,71020,,
GA,840-13,39,,,77570,73590,,
GA,840-13,40,,,74870,73010,,
GA,840-13,41,,,71660,68010,,
GA,840-13,42,,,70070,66890,,
GA,840-13,43,,,70570,67090,,
GA,840-13,44,,,69630,68810,,
GA,840-13,45,,,76180,73120,,
GA,840-13,46,,,74570,70610,,
GA,840-13,47,,,75770,70590,,
GA,840-13,48,,,73460,70080,,
GA,840-13,49,,,72080,67130,,
GA,840-13,50,,,73030,69610,,
GA,840-13,51,,,70400,65960,,
GA,840-13,52,,,68360,65300,,
GA,840-13,53,,,68180,63680,,
GA,840-13,54,,,65090,61680,,
GA,840-13,55,,,65480,59850,,
GA,840-13,56,,,61380,56570,,
GA,840-13,57,,,61620,53580,,
GA,840-13,58,,,58090,52180,,
GA,840-13,59,,,56550,49980,,
GA,840-13,60,,,55530,51350,,
GA,840-13,61,,,54260,48340,,
GA,840-13,62,,,55740,50590,,
GA,840-13,63,,,53670,48000,,
GA,840-13,64,,,41020,36640,,
GA,840-13,65,,,40730,37620,,
GA,840-13,66,,,40980,35910,,
GA,840-13,67,,,40820,35820,,
GA,840-13,68,,,34410,30190,,
GA,840-13,69,,,32570,28020,,
GA,840-13,70,,,31310,26350,,
GA,840-13,71,,,29440,24000,,
GA,840-13,72,,,27240,22530,,
GA,840-13,73,,,25040,20410,,
GA,840-13,74,,,25230,18930,,
GA,840-13,75,,,24030,18580,,
GA,840-13,76,,,21300,16420,,
GA,840-13,77,,,21140,15340,,
GA,840-13,78,,,20170,14310,,
GA,840-13,79,,,19360,13320,,
GA,840-13,80,,,18420,12230,,
GA,840-13,81,,,16240,10800,,
GA,840-13,82,,,15100,10080,,
GA,840-13,83,,,14870,8350,,
GA,840-13,84,,,14070,7050,,
GA,840-13,85,,,12840,6330,,
GA,840-13,86,,,11270,5470,,
GA,840-13,87,,,10440,4730,,
GA,840-13,88,,,9310,4220,,
GA,840-13,89,,,7828.215749,3187.667444,,
GA,840-13,90,,,6569.49355,2497.505437,,
GA,840-13,91,,,5140.190748,1842.121774,,
GA,840-13,92,,,4395.800105,1474.184916,,
GA,840-13,93,,,3400.568223,1063.04449,,
GA,840-13,94,,,2717.175664,774.0786701,,
GA,840-13,95,,,2126.243357,560.5512989,,
GA,840-13,96,,,1608.230513,389.0087537,,
GA,840-13,97,,,1158.3643,260.952385,,
GA,840-13,98,,,803.2912474,167.8333263,,
GA,840-13,99,,,558.0575505,107.8676198,,
GA,840-13,100,,,964.3689925,165.1838842,,
