region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
IL,840-17,0,,,79750,80210,,
IL,840-17,1,,,79860,82500,,
IL,840-17,2,,,84090,87520,,
IL,840-17,3,,,83900,86960,,
IL,840-17,4,,,83030,87080,,
IL,840-17,5,,,85040,87520,,
IL,840-17,6,,,84420,87050,,
IL,840-17,7,,,83820,85900,,
IL,840-17,8,,,84750,88070,,
IL,840-17,9,,,85790,86900,,
IL,840-17,10,,,87660,89370,,
IL,840-17,11,,,85650,88640,,
IL,840-17,12,,,84210,89190,,
IL,840-17,13,,,86670,88610,,
IL,840-17,14,,,86180,91580,,
IL,840-17,15,,,89070,93000,,
IL,840-17,16,,,88620,94080,,
IL,840-17,17,,,90380,97550,,
IL,840-17,18,,,91020,94940,,
IL,840-17,19,,,88440,94960,,
IL,840-17,20,,,88180,91690,,
IL,840-17,21,,,84270,88760,,
IL,840-17,22,,,84810,88300,,
IL,840-17,23,,,86200,87350,,
IL,840-17,24,,,89560,89270,,
IL,840-17,25,,,89970,92290,,
IL,840-17,26,,,88000,88170,,
IL,840-17,27,,,92600,92010,,
IL,840-17,28,,,89650,92480,,
IL,840-17,29,,,92480,90710,,
IL,840-17,30,,,92780,93070,,
IL,840-17,31,,,85730,86340,,
IL,840-17,32,,,83830,86340,,
IL,840-17,33,,,83220,83940,,
IL,840-17,34,,,81610,83800,,
IL,840-17,35,,,83990,84810,,
IL,840-17,36,,,82590,80290,,
IL,840-17,37,,,84410,83590,,
IL,840-17,38,,,88060,86760,,
IL,840-17,39,,,91960,89630,,
IL,840-17,40,,,91580,91110,,
IL,840-17,41,,,85210,84500,,
IL,840-17,42,,,85620,85320,,
IL,840-17,43,,,87250,86070,,
IL,840-17,44,,,86740,88700,,
IL,840-17,45,,,93570,91630,,
IL,840-17,46,,,95320,90740,,
IL,840-17,47,,,94580,93160,,
IL,840-17,48,,,94350,94720,,
IL,840-17,49,,,96880,93600,,
IL,840-17,50,,,98870,96210,,
IL,840-17,51,,,96510,91620,,
IL,840-17,52,,,95330,91950,,
IL,840-17,53,,,93960,87620,,
IL,840-17,54,,,91110,88240,,
IL,840-17,55,,,89340,86710,,
IL,840-17,56,,,85440,81500,,
IL,840-17,57,,,84810,77790,,
IL,840-17,58,,,81250,76100,,
IL,840-17,59,,,76660,71120,,
IL,840-17,60,,,75930,70740,,
IL,840-17,61,,,71160,65230,,
IL,840-17,62,,,73380,68930,,
IL,840-17,63,,,71700,65630,,
IL,840-17,64,,,53310,49190,,
IL,840-17,65,,,54900,49040,,
IL,840-17,66,,,53990,48290,,
IL,840-17,67,,,56450,48750,,
IL,840-17,68,,,49670,43040,,
IL,840-17,69,,,45670,38960,,
IL,840-17,70,,,43220,35870,,
IL,840-17,71,,,42040,34130,,
IL,840-17,72,,,40770,32940,,
IL,840-17,73,,,36630,31020,,
IL,840-17,74,,,36340,28120,,
IL,840-17,75,,,35980,28440,,
IL,840-17,76,,,32300,25410,,
IL,840-17,77,,,32740,24710,,
IL,840-17,78,,,32680,23070,,
IL,840-17,79,,,32860,23490,,
IL,840-17,80,,,32000,19970,,
IL,840-17,81,,,28710,19410,,
IL,840-17,82,,,30050,19210,,
IL,840-17,83,,,27230,16990,,
IL,840-17,84,,,25160,14900,,
IL,840-17,85,,,24750,13010,,
IL,840-17,86,,,22350,11870,,
IL,840-17,87,,,20350,10680,,
IL,840-17,88,,,17640,8670,,
IL,840-17,89,,,15790,6890,,
IL,840-17,90,,,13655.86412,5710.604339,,
IL,840-17,91,,,10684.80331,4212.054331,,
IL,840-17,92,,,9137.454584,3370.758139,,
IL,840-17,93,,,7068.6876,2430.675979,,
IL,840-17,94,,,5648.134271,1769.948904,,
IL,840-17,95,,,4419.776069,1281.713598,,
IL,840-17,96,,,3342.993976,889.4775737,,
IL,840-17,97,,,2407.86681,596.6737048,,
IL,840-17,98,,,1669.784138,383.7548086,,
IL,840-17,99,,,1160.022158,246.6418245,,
IL,840-17,100,,,2004.612962,377.6967975,,
