"from","to","gender","age","mrate"
"AL","MO","f","57","0.000180326"
"AL","MO","f","58","0.000180326"
"AL","MO","f","59","0.000180326"
"AL","MO","f","60","5.30811e-05"
"AL","MO","f","61","5.30811e-05"
"AL","MO","f","62","5.30811e-05"
"AL","MO","f","63","5.30811e-05"
"AL","MO","f","64","5.30811e-05"
"AL","MO","f","65","8.37865e-05"
"AL","MO","f","66","8.37865e-05"
"AL","MO","f","67","8.37865e-05"
"AL","MO","f","68","8.37865e-05"
"AL","MO","f","69","8.37865e-05"
"AL","MO","f","70","6.53445e-05"
"AL","MO","f","71","6.53445e-05"
"AL","MO","f","72","6.53445e-05"
"AL","MO","f","73","6.53445e-05"
"AL","MO","f","74","6.53445e-05"
"AL","MO","f","75","6.53445e-05"
"AL","MO","f","76","6.53445e-05"
"AL","MO","f","77","6.53445e-05"
"AL","MO","f","78","6.53445e-05"
"AL","MO","f","79","6.53445e-05"
"AL","MO","f","80","0"
"AL","MO","f","81","0"
"AL","MO","f","82","0"
"AL","MO","f","83","0"
"AL","MO","f","84","0"
"AL","MO","f","85","0"
"AL","MO","f","86","0"
"AL","MO","f","87","0"
"AL","MO","f","88","0"
"AL","MO","f","89","0"
"AL","MO","f","90","0"
"AL","MO","f","91","0"
"AL","MO","f","92","0"
"AL","MO","f","93","0"
"AL","MO","f","94","0"
"AL","MO","f","95","0"
"AL","MO","f","96","0"
"AL","MO","f","97","0"
"AL","MO","f","98","0"
"AL","MO","f","99","0"
"AL","MO","f","100","0"
"AK","MO","m","0","0.001736517"
"AK","MO","m","1","0.001736517"
"AK","MO","m","2","0.001736517"
"AK","MO","m","3","0.001736517"
"AK","MO","m","4","0.001736517"
"AK","MO","m","5","0.001873271"
"AK","MO","m","6","0.001873271"
"AK","MO","m","7","0.001873271"
"AK","MO","m","8","0.001873271"
"AK","MO","m","9","0.001873271"
"AK","MO","m","10","0.00150748"
"AK","MO","m","11","0.00150748"
"AK","MO","m","12","0.00150748"
"AK","MO","m","13","0.00150748"
"AK","MO","m","14","0.00150748"
"AK","MO","m","15","0.001532609"
"AK","MO","m","16","0.001532609"
"AK","MO","m","17","0.001532609"
"AK","MO","m","18","0.001532609"
"AK","MO","m","19","0.001532609"
"AK","MO","m","20","0.00181781"
"AK","MO","m","21","0.00181781"
"AK","MO","m","22","0.00181781"
"AK","MO","m","23","0.00181781"
"AK","MO","m","24","0.00181781"
"AK","MO","m","25","0.002050708"
"AK","MO","m","26","0.002050708"
"AK","MO","m","27","0.002050708"
"AK","MO","m","28","0.002050708"
"AK","MO","m","29","0.002050708"
"AK","MO","m","30","0.002379283"
"AK","MO","m","31","0.002379283"
"AK","MO","m","32","0.002379283"
"AK","MO","m","33","0.002379283"
"AK","MO","m","34","0.002379283"
"AK","MO","m","35","0.00188179"
"AK","MO","m","36","0.00188179"
"AK","MO","m","37","0.00188179"
"AK","MO","m","38","0.00188179"
"AK","MO","m","39","0.00188179"
"AK","MO","m","40","0.002175816"
"AK","MO","m","41","0.002175816"
"AK","MO","m","42","0.002175816"
"AK","MO","m","43","0.002175816"
"AK","MO","m","44","0.002175816"
"AK","MO","m","45","0.001410543"
"AK","MO","m","46","0.001410543"
"AK","MO","m","47","0.001410543"
"AK","MO","m","48","0.001410543"
"AK","MO","m","49","0.001410543"
"AK","MO","m","50","0.000959156"
"AK","MO","m","51","0.000959156"
"AK","MO","m","52","0.000959156"
"AK","MO","m","53","0.000959156"
"AK","MO","m","54","0.000959156"
"AK","MO","m","55","0.000112996"
"AK","MO","m","56","0.000112996"
"AK","MO","m","57","0.000112996"
"AK","MO","m","58","0.000112996"
"AK","MO","m","59","0.000112996"
"AK","MO","m","60","0.000392425"
"AK","MO","m","61","0.000392425"
"AK","MO","m","62","0.000392425"
"AK","MO","m","63","0.000392425"
"AK","MO","m","64","0.000392425"
"AK","MO","m","65","0.000340512"
"AK","MO","m","66","0.000340512"
"AK","MO","m","67","0.000340512"
"AK","MO","m","68","0.000340512"
"AK","MO","m","69","0.000340512"
"AK","MO","m","70","0.000315195"
"AK","MO","m","71","0.000315195"
"AK","MO","m","72","0.000315195"
"AK","MO","m","73","0.000315195"
"AK","MO","m","74","0.000315195"
"AK","MO","m","75","0"
"AK","MO","m","76","0"
"AK","MO","m","77","0"
"AK","MO","m","78","0"
"AK","MO","m","79","0"
"AK","MO","m","80","0"
"AK","MO","m","81","0"
"AK","MO","m","82","0"
"AK","MO","m","83","0"
"AK","MO","m","84","0"
"AK","MO","m","85","0"
"AK","MO","m","86","0"
"AK","MO","m","87","0"
"AK","MO","m","88","0"
"AK","MO","m","89","0"
"AK","MO","m","90","0"
"AK","MO","m","91","0"
"AK","MO","m","92","0"
"AK","MO","m","93","0"
"AK","MO","m","94","0"
"AK","MO","m","95","0"
"AK","MO","m","96","0"
"AK","MO","m","97","0"
"AK","MO","m","98","0"
"AK","MO","m","99","0"
"AK","MO","m","100","0"
"AK","MO","f","0","0.002534497"
"AK","MO","f","1","0.002534497"
"AK","MO","f","2","0.002534497"
"AK","MO","f","3","0.002534497"
"AK","MO","f","4","0.002534497"
"AK","MO","f","5","0.002991234"
"AK","MO","f","6","0.002991234"
"AK","MO","f","7","0.002991234"
"AK","MO","f","8","0.002991234"
"AK","MO","f","9","0.002991234"
"AK","MO","f","10","0.002722559"
"AK","MO","f","11","0.002722559"
"AK","MO","f","12","0.002722559"
"AK","MO","f","13","0.002722559"
"AK","MO","f","14","0.002722559"
"AK","MO","f","15","0.002605978"
"AK","MO","f","16","0.002605978"
"AK","MO","f","17","0.002605978"
"AK","MO","f","18","0.002605978"
"AK","MO","f","19","0.002605978"
"AK","MO","f","20","0.002218023"
"AK","MO","f","21","0.002218023"
"AK","MO","f","22","0.002218023"
"AK","MO","f","23","0.002218023"
"AK","MO","f","24","0.002218023"
"AK","MO","f","25","0.002274729"
"AK","MO","f","26","0.002274729"
"AK","MO","f","27","0.002274729"
"AK","MO","f","28","0.002274729"
"AK","MO","f","29","0.002274729"
"AK","MO","f","30","0.00221106"
"AK","MO","f","31","0.00221106"
"AK","MO","f","32","0.00221106"
"AK","MO","f","33","0.00221106"
"AK","MO","f","34","0.00221106"
"AK","MO","f","35","0.001297445"
"AK","MO","f","36","0.001297445"
"AK","MO","f","37","0.001297445"
"AK","MO","f","38","0.001297445"
"AK","MO","f","39","0.001297445"
"AK","MO","f","40","0.001198932"
"AK","MO","f","41","0.001198932"
"AK","MO","f","42","0.001198932"
"AK","MO","f","43","0.001198932"
"AK","MO","f","44","0.001198932"
"AK","MO","f","45","0.001628128"
"AK","MO","f","46","0.001628128"
"AK","MO","f","47","0.001628128"
"AK","MO","f","48","0.001628128"
"AK","MO","f","49","0.001628128"
"AK","MO","f","50","0.001678519"
"AK","MO","f","51","0.001678519"
"AK","MO","f","52","0.001678519"
"AK","MO","f","53","0.001678519"
"AK","MO","f","54","0.001678519"
"AK","MO","f","55","0.001496309"
"AK","MO","f","56","0.001496309"
"AK","MO","f","57","0.001496309"
"AK","MO","f","58","0.001496309"
"AK","MO","f","59","0.001496309"
"AK","MO","f","60","0.000186792"
"AK","MO","f","61","0.000186792"
"AK","MO","f","62","0.000186792"
"AK","MO","f","63","0.000186792"
"AK","MO","f","64","0.000186792"
"AK","MO","f","65","0.0001364"
"AK","MO","f","66","0.0001364"
"AK","MO","f","67","0.0001364"
"AK","MO","f","68","0.0001364"
"AK","MO","f","69","0.0001364"
"AK","MO","f","70","0"
"AK","MO","f","71","0"
"AK","MO","f","72","0"
"AK","MO","f","73","0"
"AK","MO","f","74","0"
"AK","MO","f","75","0"
"AK","MO","f","76","0"
"AK","MO","f","77","0"
"AK","MO","f","78","0"
"AK","MO","f","79","0"
"AK","MO","f","80","0"
"AK","MO","f","81","0"
"AK","MO","f","82","0"
"AK","MO","f","83","0"
"AK","MO","f","84","0"
"AK","MO","f","85","0"
"AK","MO","f","86","0"
"AK","MO","f","87","0"
"AK","MO","f","88","0"
"AK","MO","f","89","0"
"AK","MO","f","90","0"
"AK","MO","f","91","0"
"AK","MO","f","92","0"
"AK","MO","f","93","0"
"AK","MO","f","94","0"
"AK","MO","f","95","0"
"AK","MO","f","96","0"
"AK","MO","f","97","0"
"AK","MO","f","98","0"
"AK","MO","f","99","0"
"AK","MO","f","100","0"
"AZ","MO","m","0","0.000708551"
"AZ","MO","m","1","0.000708551"
"AZ","MO","m","2","0.000708551"
"AZ","MO","m","3","0.000708551"
"AZ","MO","m","4","0.000708551"
"AZ","MO","m","5","0.000507861"
"AZ","MO","m","6","0.000507861"
"AZ","MO","m","7","0.000507861"
"AZ","MO","m","8","0.000507861"
"AZ","MO","m","9","0.000507861"
"AZ","MO","m","10","0.000408187"
"AZ","MO","m","11","0.000408187"
"AZ","MO","m","12","0.000408187"
"AZ","MO","m","13","0.000408187"
"AZ","MO","m","14","0.000408187"
"AZ","MO","m","15","0.000575655"
"AZ","MO","m","16","0.000575655"
"AZ","MO","m","17","0.000575655"
"AZ","MO","m","18","0.000575655"
"AZ","MO","m","19","0.000575655"
"AZ","MO","m","20","0.000837033"
"AZ","MO","m","21","0.000837033"
"AZ","MO","m","22","0.000837033"
"AZ","MO","m","23","0.000837033"
"AZ","MO","m","24","0.000837033"
"AZ","MO","m","25","0.000983872"
"AZ","MO","m","26","0.000983872"
"AZ","MO","m","27","0.000983872"
"AZ","MO","m","28","0.000983872"
"AZ","MO","m","29","0.000983872"
"AZ","MO","m","30","0.000727989"
"AZ","MO","m","31","0.000727989"
"AZ","MO","m","32","0.000727989"
"AZ","MO","m","33","0.000727989"
"AZ","MO","m","34","0.000727989"
"AZ","MO","m","35","0.000727497"
"AZ","MO","m","36","0.000727497"
"AZ","MO","m","37","0.000727497"
"AZ","MO","m","38","0.000727497"
"AZ","MO","m","39","0.000727497"
"AZ","MO","m","40","0.000513815"
"AZ","MO","m","41","0.000513815"
"AZ","MO","m","42","0.000513815"
"AZ","MO","m","43","0.000513815"
"AZ","MO","m","44","0.000513815"
"AZ","MO","m","45","0.000524096"
"AZ","MO","m","46","0.000524096"
"AZ","MO","m","47","0.000524096"
"AZ","MO","m","48","0.000524096"
"AZ","MO","m","49","0.000524096"
"AZ","MO","m","50","0.000357133"
"AZ","MO","m","51","0.000357133"
"AZ","MO","m","52","0.000357133"
"AZ","MO","m","53","0.000357133"
"AZ","MO","m","54","0.000357133"
"AZ","MO","m","55","0.00040867"
"AZ","MO","m","56","0.00040867"
"AZ","MO","m","57","0.00040867"
"AZ","MO","m","58","0.00040867"
"AZ","MO","m","59","0.00040867"
"AZ","MO","m","60","0.000411904"
"AZ","MO","m","61","0.000411904"
"AZ","MO","m","62","0.000411904"
"AZ","MO","m","63","0.000411904"
"AZ","MO","m","64","0.000411904"
"AZ","MO","m","65","0.000398954"
"AZ","MO","m","66","0.000398954"
"AZ","MO","m","67","0.000398954"
"AZ","MO","m","68","0.000398954"
"AZ","MO","m","69","0.000398954"
"AZ","MO","m","70","0.000492512"
"AZ","MO","m","71","0.000492512"
"AZ","MO","m","72","0.000492512"
"AZ","MO","m","73","0.000492512"
"AZ","MO","m","74","0.000492512"
"AZ","MO","m","75","0.000487027"
"AZ","MO","m","76","0.000487027"
"AZ","MO","m","77","0.000487027"
"AZ","MO","m","78","0.000487027"
"AZ","MO","m","79","0.000487027"
"AZ","MO","m","80","0.000370558"
"AZ","MO","m","81","0.000370558"
"AZ","MO","m","82","0.000370558"
"AZ","MO","m","83","0.000370558"
"AZ","MO","m","84","0.000370558"
"AZ","MO","m","85","0.000991726"
"AZ","MO","m","86","0.000991726"
"AZ","MO","m","87","0.000991726"
"AZ","MO","m","88","0.000991726"
"AZ","MO","m","89","0.000991726"
"AZ","MO","m","90","0.000880032"
"AZ","MO","m","91","0.000880032"
"AZ","MO","m","92","0.000880032"
"AZ","MO","m","93","0.000880032"
"AZ","MO","m","94","0.000880032"
"AZ","MO","m","95","0.001320048"
"AZ","MO","m","96","0.001320048"
"AZ","MO","m","97","0.001320048"
"AZ","MO","m","98","0.001320048"
"AZ","MO","m","99","0.001320048"
"AZ","MO","m","100","0.001320048"
"AZ","MO","f","0","0.000304654"
"AZ","MO","f","1","0.000304654"
"AZ","MO","f","2","0.000304654"
"AZ","MO","f","3","0.000304654"
