region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
WV,840-54,0,,,10030,9980,,
WV,840-54,1,,,9440,10550,,
WV,840-54,2,,,9970,10920,,
WV,840-54,3,,,10450,10730,,
WV,840-54,4,,,9950,10710,,
WV,840-54,5,,,10620,10470,,
WV,840-54,6,,,10580,10590,,
WV,840-54,7,,,10910,10780,,
WV,840-54,8,,,10620,10710,,
WV,840-54,9,,,10900,11620,,
WV,840-54,10,,,11050,10750,,
WV,840-54,11,,,11080,10700,,
WV,840-54,12,,,10780,11260,,
WV,840-54,13,,,10930,10490,,
WV,840-54,14,,,10900,11130,,
WV,840-54,15,,,11240,11890,,
WV,840-54,16,,,11090,11560,,
WV,840-54,17,,,11380,11680,,
WV,840-54,18,,,12250,13380,,
WV,840-54,19,,,13020,13270,,
WV,840-54,20,,,12950,13530,,
WV,840-54,21,,,11320,12650,,
WV,840-54,22,,,10900,11490,,
WV,840-54,23,,,11360,11330,,
WV,840-54,24,,,11250,11260,,
WV,840-54,25,,,10470,10660,,
WV,840-54,26,,,10130,11030,,
WV,840-54,27,,,10540,11340,,
WV,840-54,28,,,10460,11300,,
WV,840-54,29,,,11620,11540,,
WV,840-54,30,,,11490,12160,,
WV,840-54,31,,,10460,11210,,
WV,840-54,32,,,11500,11210,,
WV,840-54,33,,,11040,11040,,
WV,840-54,34,,,10980,11250,,
WV,840-54,35,,,11400,12140,,
WV,840-54,36,,,10970,10390,,
WV,840-54,37,,,10730,12070,,
WV,840-54,38,,,11900,12040,,
WV,840-54,39,,,13020,12320,,
WV,840-54,40,,,12290,12710,,
WV,840-54,41,,,11680,12610,,
WV,840-54,42,,,11940,12330,,
WV,840-54,43,,,11930,12140,,
WV,840-54,44,,,12390,12460,,
WV,840-54,45,,,12760,13010,,
WV,840-54,46,,,13090,12800,,
WV,840-54,47,,,13380,12660,,
WV,840-54,48,,,13570,13460,,
WV,840-54,49,,,13280,12840,,
WV,840-54,50,,,14370,14010,,
WV,840-54,51,,,13910,13350,,
WV,840-54,52,,,15560,15550,,
WV,840-54,53,,,14510,13930,,
WV,840-54,54,,,14360,13910,,
WV,840-54,55,,,14970,14210,,
WV,840-54,56,,,13860,13240,,
WV,840-54,57,,,14440,14160,,
WV,840-54,58,,,14390,14380,,
WV,840-54,59,,,13390,13140,,
WV,840-54,60,,,13510,13100,,
WV,840-54,61,,,13610,12980,,
WV,840-54,62,,,13050,13300,,
WV,840-54,63,,,12980,12460,,
WV,840-54,64,,,9790,9660,,
WV,840-54,65,,,10130,9380,,
WV,840-54,66,,,9560,9050,,
WV,840-54,67,,,9690,9440,,
WV,840-54,68,,,9090,8600,,
WV,840-54,69,,,8350,8380,,
WV,840-54,70,,,8060,7440,,
WV,840-54,71,,,8110,7780,,
WV,840-54,72,,,7880,6780,,
WV,840-54,73,,,7460,5970,,
WV,840-54,74,,,7250,6100,,
WV,840-54,75,,,7250,5580,,
WV,840-54,76,,,6030,4630,,
WV,840-54,77,,,6030,4740,,
WV,840-54,78,,,5710,4170,,
WV,840-54,79,,,6140,3970,,
WV,840-54,80,,,5960,4390,,
WV,840-54,81,,,5690,3670,,
WV,840-54,82,,,5470,3370,,
WV,840-54,83,,,4330,2970,,
WV,840-54,84,,,4770,2870,,
WV,840-54,85,,,3860,2230,,
WV,840-54,86,,,3660,2070,,
WV,840-54,87,,,3110,1430,,
WV,840-54,88,,,2890,1270,,
WV,840-54,89,,,2440,1290,,
WV,840-54,90,,,1892.185094,778.5967364,,
WV,840-54,91,,,1480.508694,574.2810325,,
WV,840-54,92,,,1266.104818,459.5768032,,
WV,840-54,93,,,979.452138,331.4038712,,
WV,840-54,94,,,782.6172977,241.3188445,,
WV,840-54,95,,,612.4134161,174.7517364,,
WV,840-54,96,,,463.2122373,121.273388,,
WV,840-54,97,,,333.6390613,81.35184503,,
WV,840-54,98,,,231.3687825,52.32200024,,
WV,840-54,99,,,160.7350963,33.62770527,,
WV,840-54,100,,,277.7633647,51.49603728,,
