year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2015,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2020,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2025,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2030,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2035,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2040,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2045,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2050,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2055,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2060,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2065,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2070,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2075,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2080,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2085,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2090,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2095,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
2100,2.19,2.19,2.19,77.8,83.5,77.8,83.5,77.8,83.5,0.919,105,105,105,4633.82487,4313.661998
