year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2015,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2020,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2025,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2030,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2035,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2040,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2045,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2050,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2055,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2060,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2065,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2070,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2075,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2080,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2085,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2090,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2095,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
2100,1.87,1.87,1.87,74.8,79.8,74.8,79.8,74.8,79.8,0.661,105,105,105,22451.46234,20900.23309
