region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
UT,840-49,0,,,,
UT,840-49,1,,,,
UT,840-49,2,,,,
UT,840-49,3,,,,
UT,840-49,4,,,,
UT,840-49,5,,,,
UT,840-49,6,,,,
UT,840-49,7,,,,
UT,840-49,8,,,,
UT,840-49,9,,,,
UT,840-49,10,,,,
UT,840-49,11,,,,
UT,840-49,12,,,,
UT,840-49,13,,,,
UT,840-49,14,,,,
UT,840-49,15,,,,
UT,840-49,16,,,,
UT,840-49,17,,,,
UT,840-49,18,,,,
UT,840-49,19,,,,
UT,840-49,20,,,,
UT,840-49,21,,,,
UT,840-49,22,,,,
UT,840-49,23,,,,
UT,840-49,24,,,,
UT,840-49,25,,,,
UT,840-49,26,,,,
UT,840-49,27,,,,
UT,840-49,28,,,,
UT,840-49,29,,,,
UT,840-49,30,,,,
UT,840-49,31,,,,
UT,840-49,32,,,,
UT,840-49,33,,,,
UT,840-49,34,,,,
UT,840-49,35,,,,
UT,840-49,36,,,,
UT,840-49,37,,,,
UT,840-49,38,,,,
UT,840-49,39,,,,
UT,840-49,40,,,,
UT,840-49,41,,,,
UT,840-49,42,,,,
UT,840-49,43,,,,
UT,840-49,44,,,,
UT,840-49,45,,,,
UT,840-49,46,,,,
UT,840-49,47,,,,
UT,840-49,48,,,,
UT,840-49,49,,,,
UT,840-49,50,,,,
UT,840-49,51,,,,
UT,840-49,52,,,,
UT,840-49,53,,,,
UT,840-49,54,,,,
UT,840-49,55,,,,
UT,840-49,56,,,,
UT,840-49,57,,,,
UT,840-49,58,,,,
UT,840-49,59,,,,
UT,840-49,60,,,,
UT,840-49,61,,,,
UT,840-49,62,,,,
UT,840-49,63,,,,
UT,840-49,64,,,,
UT,840-49,65,,,,
UT,840-49,66,,,,
UT,840-49,67,,,,
UT,840-49,68,,,,
UT,840-49,69,,,,
UT,840-49,70,,,,
UT,840-49,71,,,,
UT,840-49,72,,,,
UT,840-49,73,,,,
UT,840-49,74,,,,
UT,840-49,75,,,,
UT,840-49,76,,,,
UT,840-49,77,,,,
UT,840-49,78,,,,
UT,840-49,79,,,,
UT,840-49,80,,,,
UT,840-49,81,,,,
UT,840-49,82,,,,
UT,840-49,83,,,,
UT,840-49,84,,,,
UT,840-49,85,,,,
UT,840-49,86,,,,
UT,840-49,87,,,,
UT,840-49,88,,,,
UT,840-49,89,,,,
UT,840-49,90,,,,
UT,840-49,91,,,,
UT,840-49,92,,,,
UT,840-49,93,,,,
UT,840-49,94,,,,
UT,840-49,95,,,,
UT,840-49,96,,,,
UT,840-49,97,,,,
UT,840-49,98,,,,
UT,840-49,99,,,,
UT,840-49,100,,,,
