region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
AR,840-05,0,,,,
AR,840-05,1,,,,
AR,840-05,2,,,,
AR,840-05,3,,,,
AR,840-05,4,,,,
AR,840-05,5,,,,
AR,840-05,6,,,,
AR,840-05,7,,,,
AR,840-05,8,,,,
AR,840-05,9,,,,
AR,840-05,10,,,,
AR,840-05,11,,,,
AR,840-05,12,,,,
AR,840-05,13,,,,
AR,840-05,14,,,,
AR,840-05,15,,,,
AR,840-05,16,,,,
AR,840-05,17,,,,
AR,840-05,18,,,,
AR,840-05,19,,,,
AR,840-05,20,,,,
AR,840-05,21,,,,
AR,840-05,22,,,,
AR,840-05,23,,,,
AR,840-05,24,,,,
AR,840-05,25,,,,
AR,840-05,26,,,,
AR,840-05,27,,,,
AR,840-05,28,,,,
AR,840-05,29,,,,
AR,840-05,30,,,,
AR,840-05,31,,,,
AR,840-05,32,,,,
AR,840-05,33,,,,
AR,840-05,34,,,,
AR,840-05,35,,,,
AR,840-05,36,,,,
AR,840-05,37,,,,
AR,840-05,38,,,,
AR,840-05,39,,,,
AR,840-05,40,,,,
AR,840-05,41,,,,
AR,840-05,42,,,,
AR,840-05,43,,,,
AR,840-05,44,,,,
AR,840-05,45,,,,
AR,840-05,46,,,,
AR,840-05,47,,,,
AR,840-05,48,,,,
AR,840-05,49,,,,
AR,840-05,50,,,,
AR,840-05,51,,,,
AR,840-05,52,,,,
AR,840-05,53,,,,
AR,840-05,54,,,,
AR,840-05,55,,,,
AR,840-05,56,,,,
AR,840-05,57,,,,
AR,840-05,58,,,,
AR,840-05,59,,,,
AR,840-05,60,,,,
AR,840-05,61,,,,
AR,840-05,62,,,,
AR,840-05,63,,,,
AR,840-05,64,,,,
AR,840-05,65,,,,
AR,840-05,66,,,,
AR,840-05,67,,,,
AR,840-05,68,,,,
AR,840-05,69,,,,
AR,840-05,70,,,,
AR,840-05,71,,,,
AR,840-05,72,,,,
AR,840-05,73,,,,
AR,840-05,74,,,,
AR,840-05,75,,,,
AR,840-05,76,,,,
AR,840-05,77,,,,
AR,840-05,78,,,,
AR,840-05,79,,,,
AR,840-05,80,,,,
AR,840-05,81,,,,
AR,840-05,82,,,,
AR,840-05,83,,,,
AR,840-05,84,,,,
AR,840-05,85,,,,
AR,840-05,86,,,,
AR,840-05,87,,,,
AR,840-05,88,,,,
AR,840-05,89,,,,
AR,840-05,90,,,,
AR,840-05,91,,,,
AR,840-05,92,,,,
AR,840-05,93,,,,
AR,840-05,94,,,,
AR,840-05,95,,,,
AR,840-05,96,,,,
AR,840-05,97,,,,
AR,840-05,98,,,,
AR,840-05,99,,,,
AR,840-05,100,,,,
