region,region_code,age,rural,urban,all
MS,840-28,0,,0,0
MS,840-28,1,,0,0
MS,840-28,2,,0,0
MS,840-28,3,,0,0
MS,840-28,4,,0,0
MS,840-28,5,,0,0
MS,840-28,6,,0,0
MS,840-28,7,,0,0
MS,840-28,8,,0,0
MS,840-28,9,,0,0
MS,840-28,10,,0,0
MS,840-28,11,,0,0
MS,840-28,12,,0,0
MS,840-28,13,,0,0
MS,840-28,14,,0,0
MS,840-28,15,,0.007765315,0.007765315
MS,840-28,16,,0.029643158,0.029643158
MS,840-28,17,,0.057009428,0.057009428
MS,840-28,18,,0.070492673,0.070492673
MS,840-28,19,,0.084417704,0.084417704
MS,840-28,20,,0.113724071,0.113724071
MS,840-28,21,,0.152668028,0.152668028
MS,840-28,22,,0.125154954,0.125154954
MS,840-28,23,,0.122415219,0.122415219
MS,840-28,24,,0.159655885,0.159655885
MS,840-28,25,,0.136013935,0.136013935
MS,840-28,26,,0.137225788,0.137225788
MS,840-28,27,,0.15372549,0.15372549
MS,840-28,28,,0.120622167,0.120622167
MS,840-28,29,,0.113610494,0.113610494
MS,840-28,30,,0.088434312,0.088434312
MS,840-28,31,,0.086761825,0.086761825
MS,840-28,32,,0.066613978,0.066613978
MS,840-28,33,,0.077740824,0.077740824
MS,840-28,34,,0.068892885,0.068892885
MS,840-28,35,,0.053855507,0.053855507
MS,840-28,36,,0.05174991,0.05174991
MS,840-28,37,,0.025121977,0.025121977
MS,840-28,38,,0.033582274,0.033582274
MS,840-28,39,,0.025840347,0.025840347
MS,840-28,40,,0.026983897,0.026983897
MS,840-28,41,,0.009534128,0.009534128
MS,840-28,42,,0.020449898,0.020449898
MS,840-28,43,,0.016129784,0.016129784
MS,840-28,44,,0.00533059,0.00533059
MS,840-28,45,,0.009018384,0.009018384
MS,840-28,46,,0.012415804,0.012415804
MS,840-28,47,,0.00114904,0.00114904
MS,840-28,48,,0.00206593,0.00206593
MS,840-28,49,,0.001557632,0.001557632
MS,840-28,50,,0.007138192,0.007138192
MS,840-28,51,,0,0
MS,840-28,52,,0,0
MS,840-28,53,,0,0
MS,840-28,54,,0,0
MS,840-28,55,,0,0
MS,840-28,56,,0,0
MS,840-28,57,,0,0
MS,840-28,58,,0,0
MS,840-28,59,,0,0
MS,840-28,60,,0,0
MS,840-28,61,,0,0
MS,840-28,62,,0,0
MS,840-28,63,,0,0
MS,840-28,64,,0,0
MS,840-28,65,,0,0
MS,840-28,66,,0,0
MS,840-28,67,,0,0
MS,840-28,68,,0,0
MS,840-28,69,,0,0
MS,840-28,70,,0,0
MS,840-28,71,,0,0
MS,840-28,72,,0,0
MS,840-28,73,,0,0
MS,840-28,74,,0,0
MS,840-28,75,,0,0
MS,840-28,76,,0,0
MS,840-28,77,,0,0
MS,840-28,78,,0,0
MS,840-28,79,,0,0
MS,840-28,80,,0,0
MS,840-28,81,,0,0
MS,840-28,82,,0,0
MS,840-28,83,,0,0
MS,840-28,84,,0,0
MS,840-28,85,,0,0
MS,840-28,86,,0,0
MS,840-28,87,,0,0
MS,840-28,88,,0,0
MS,840-28,89,,0,0
MS,840-28,90,,0,0
MS,840-28,91,,0,0
MS,840-28,92,,0,0
MS,840-28,93,,0,0
MS,840-28,94,,0,0
MS,840-28,95,,0,0
MS,840-28,96,,0,0
MS,840-28,97,,0,0
MS,840-28,98,,0,0
MS,840-28,99,,0,0
MS,840-28,100,,0,0
