region,region.code,age,lx_rural_female,lx_rural_male,lx_urban_female,lx_urban_male,lx_national_female,lx_national_male,mx_rural_female,mx_rural_male,mx_urban_female,mx_urban_male,mx_national_female,mx_national_male
MA,840-25,81,65395.01668,52040.7281,65395.01668,52040.7281,NA,NA,0.045894869,0.062042106,0.045894869,0.062042106,NA,NA
MA,840-25,82,62461.07072,48909.12579,62461.07072,48909.12579,NA,NA,0.051441823,0.069159997,0.051441823,0.069159997,NA,NA
MA,840-25,83,59328.55671,45639.59569,59328.55671,45639.59569,NA,NA,0.058128584,0.077620059,0.058128584,0.077620059,NA,NA
MA,840-25,84,55977.27437,42229.39747,55977.27437,42229.39747,NA,NA,0.066046073,0.086750956,0.066046073,0.086750956,NA,NA
MA,840-25,85,52398.34789,38718.29772,52398.34789,38718.29772,NA,NA,0.074337974,0.097587803,0.074337974,0.097587803,NA,NA
MA,840-25,86,48642.71492,35115.60234,48642.71492,35115.60234,NA,NA,0.084706194,0.110025941,0.084706194,0.110025941,NA,NA
MA,840-25,87,44689.79413,31453.38617,44689.79413,31453.38617,NA,NA,0.096381277,0.123841867,0.096381277,0.123841867,NA,NA
MA,840-25,88,40580.61038,27785.3355,40580.61038,27785.3355,NA,NA,0.10948614,0.13912023,0.10948614,0.13912023,NA,NA
MA,840-25,89,36368.19646,24171.16058,36368.19646,24171.16058,NA,NA,0.124145666,0.155963659,0.124145666,0.155963659,NA,NA
MA,840-25,90,32116.99227,20673.97041,32116.99227,20673.97041,NA,NA,0.140495236,0.17444844,0.140495236,0.17444844,NA,NA
MA,840-25,91,27900.87971,17356.68092,27900.87971,17356.68092,NA,NA,0.158636575,0.194651991,0.158636575,0.194651991,NA,NA
MA,840-25,92,23799.97016,14277.91932,23799.97016,14277.91932,NA,NA,0.178689048,0.216577007,0.178689048,0.216577007,NA,NA
MA,840-25,93,19895.9766,11487.68089,19895.9766,11487.68089,NA,NA,0.200732233,0.240297284,0.200732233,0.240297284,NA,NA
MA,840-25,94,16266.49024,9023.312846,16266.49024,9023.312846,NA,NA,0.224832691,0.265766261,0.224832691,0.265766261,NA,NA
MA,840-25,95,12978.83738,6906.50834,12978.83738,6906.50834,NA,NA,0.251037705,0.292949737,0.251037705,0.292949737,NA,NA
MA,840-25,96,10084.13534,5141.742395,10084.13534,5141.742395,NA,NA,0.279307836,0.321765901,0.279307836,0.321765901,NA,NA
MA,840-25,97,7612.702586,3716.588054,7612.702586,3716.588054,NA,NA,0.309634227,0.352153937,0.309634227,0.352153937,NA,NA
MA,840-25,98,5571.554034,2603.89403,5571.554034,2603.89403,NA,NA,0.341946704,0.38386414,0.341946704,0.38386414,NA,NA
MA,840-25,99,3944.704472,1765.484446,3944.704472,1765.484446,NA,NA,0.376046824,0.416746168,0.376046824,0.416746168,NA,NA
MA,840-25,100,2696.241269,1156.791768,2696.241269,1156.791768,NA,NA,0.444659654,0.444659654,0.444659654,0.444659654,NA,NA
